"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"4KQYKVYU","conferencePaper","2024","Galantino, Stefano; Pinto, Andrea; Esposito, Flavio; Manzalini, Antonio; Risso, Fulvio","Balancing Energy Efficiency and Infrastructure Knowledge in Cloud-to-Edge Task Distribution Systems","Proceedings of the 1st International Workshop on MetaOS for the Cloud-Edge-IoT Continuum","979-8-4007-0543-4","","10.1145/3642975.3678965","https://doi.org/10.1145/3642975.3678965","In the rapidly evolving landscape of distributed computing, maintaining energy efficiency in edge and data center infrastructures has become critical. While the problem has been faced with centralized approaches assuming knowledge of the available underlying infrastructure resources, this paper introduces a distributed task allocation framework emphasizing energy awareness without requiring infrastructure knowledge. The framework is designed to optimize energy consumption in heterogeneous computing environments, leveraging a distributed consensus algorithm that allows nodes to maximize individual or global goals. Each private custom utility function enables a node to carefully determine whether executing a task is efficient, thus ensuring flexibility in the task allocation process based on local preferences. While showcasing the energy efficiency of our framework, we also illustrate that it is not necessary to disclose the underlying infrastructure resources status, ensuring the preservation of potentially sensitive local resources information. Experimental results demonstrate the framework's ability to achieve optimal power consumption outcomes while maintaining privacy, offering a significant advancement over traditional centralized allocation policies and Kubernetes-like scheduling algorithms.","2024","2025-03-14 16:13:12","2025-03-14 16:13:12","","28–34","","","","","","","MECC '24","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Athens, Greece","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"937CBMBJ","conferencePaper","2023","Simões, Bruno; Del Puy Carretero, María; Martinez Santiago, Jorge; Muñoz Segovia, Sebastian; Alcain, Nieves","TwinArk: A Unified Framework for Digital Twins based on Micro-frontends, Micro-Services, and Web 3D","Proceedings of the 28th International ACM Conference on 3D Web Technology","979-8-4007-0324-9","","10.1145/3611314.3615915","https://doi.org/10.1145/3611314.3615915","The introduction of the Digital Twin (DT) has sparked a great deal of interest in the virtual replication of physical assets and processes. However, to fully realize the potential of DT, companies require robust and scalable front-end solutions. This study proposes harnessing micro-frontend technologies to surmount the limitations of monolithic front-end frameworks, thereby crafting effective presentation layers tailored for industrial companies. By decomposing complex and distributed systems into modular web-based DT, the proposed framework enables better scalability, synergy, and efficient application development. It also tackles the intricacies introduced by complex multi-vendor elements within DT and the orchestration of services and virtual environments. Research is focused on developing an architecture that facilitates seamless connectivity between multiple blocks of DT as well as interactivity and immersive experiences. Our study offers insights into our journey of implementing this framework for various industrial use cases, such as training, monitoring, and control, highlighting the benefits, drawbacks, and challenges. Ultimately, this research aims to accelerate the creation of DT, improve maintainability, and increase efficiency and productivity in industrial environments.","2023","2025-03-14 16:13:12","2025-03-14 16:13:12","","","","","","","","","Web3D '23","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: San Sebastian, Spain","","","","digital twins; GUI; Web3D","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8H48G5A7","conferencePaper","2022","Tang, Wenda; Ke, Yutao; Fu, Senbo; Jiang, Hongliang; Wu, Junjie; Peng, Qian; Gao, Feng","Demeter: QoS-aware CPU scheduling to reduce power consumption of multiple black-box workloads","Proceedings of the 13th Symposium on Cloud Computing","978-1-4503-9414-7","","10.1145/3542929.3563476","https://doi.org/10.1145/3542929.3563476","Energy consumption in cloud data centers has become an increasingly important contributor to greenhouse gas emissions and operation costs. To reduce energy-related costs and improve environmental sustainability, most modern data centers consolidate Virtual Machine (VM) workloads belonging to different application classes, some being latency-critical (LC) and others being more tolerant to performance changes, known as best-effort (BE). However, in public cloud scenarios, the real classes of applications are often opaque to data center operators. The heterogeneous applications from different cloud tenants are usually consolidated onto the same hosts to improve energy efficiency, but it is not trivial to guarantee decent performance isolation among colocated workloads. We tackle the above challenges by introducing Demeter, a QoS-aware power management controller for heterogeneous black-box workloads in public clouds. Demeter is designed to work without offline profiling or prior knowledge about black-box workloads. Through the correlation analysis between network throughput and CPU resource utilization, Demeter automatically classifies black-box workloads as either LC or BE. By provisioning differentiated CPU management strategies (including dynamic core allocation and frequency scaling) to LC and BE workloads, Demeter achieves considerable power savings together with a minimum impact on the performance of all workloads. We discuss the design and implementation of Demeter in this work, and conduct extensive experimental evaluations to reveal its effectiveness. Our results show that Demeter not only meets the performance demand of all workloads, but also responds quickly to dynamic load changes in our cloud environment. In addition, Demeter saves an average of 10.6% power consumption than state of the art mechanisms.","2022","2025-03-14 16:13:12","2025-03-14 16:13:12","","31–46","","","","","","","SoCC '22","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: San Francisco, California","","","","cloud computing; power management; quality of service; workload characterization","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4PKH7UL3","conferencePaper","2024","D'Angelo, Andrea; d'Aloisio, Giordano","Grammar-Based Anomaly Detection of Microservice Systems Execution Traces","Companion of the 15th ACM/SPEC International Conference on Performance Engineering","979-8-4007-0445-1","","10.1145/3629527.3651844","https://doi.org/10.1145/3629527.3651844","Microservice architectures are a widely adopted architectural pattern for large-scale applications. Given the large adoption of these systems, several works have been proposed to detect performance anomalies starting from analysing the execution traces. However, most of the proposed approaches rely on machine learning (ML) algorithms to detect anomalies. While ML methods may be effective in detecting anomalies, the training and deployment of these systems as been shown to be less efficient in terms of time, computational resources, and energy required.In this paper, we propose a novel approach based on Context-free grammar for anomaly detection of microservice systems execution traces. We employ the SAX encoding to transform execution traces into strings. Then, we select strings encoding anomalies, and for each possible anomaly, we build a Context-free grammar using the Sequitur grammar induction algorithm. We test our approach on two real-world datasets and compare it with a Logistic Regression classifier. We show how our approach is more effective in terms of training time of 15 seconds with a minimum loss in effectiveness of 5% compared to the Logistic Regression baseline.","2024","2025-03-14 16:13:12","2025-03-14 16:13:12","","77–81","","","","","","","ICPE '24 Companion","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: London, United Kingdom","","","","anomaly detection; context-free grammar; execution traces; micro service system","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TA8Q7QJZ","conferencePaper","2024","Steidl, Monika; Leitner, Michael; Urbanke, Pirmin; Gattringer, Marko; Felderer, Michael; Ristov, Sashko","Understanding Microservice Runtime Monitoring Data for&nbsp;Anomaly Detection with&nbsp;Structural Equation Modeling","Product-Focused Software Process Improvement: 25th International Conference, PROFES 2024, Tartu, Estonia, December 2–4, 2024, Proceedings","978-3-031-78385-2","","10.1007/978-3-031-78386-9_31","https://doi.org/10.1007/978-3-031-78386-9_31","Microservices reliability is critical, but runtime anomalies are increasingly common due to system complexity. Rule-based and AI-based anomaly detection methods assist practitioners in analyzing runtime monitoring data (logs, traces, metrics) to identify anomalies. However, these methods rely&nbsp;on high-quality datasets and deep domain knowledge to deliver accurate results. Thus, a significant challenge lies in the lack of consensus on which runtime monitoring parameters effectively represent&nbsp;the system and microservices, reliably indicate anomalies,&nbsp;or distinguish deviations that genuinely signal anomalies. A thorough understanding of the dataset, key monitoring parameters,&nbsp;and microservice dependencies is crucial to minimize bias and&nbsp;false positives, ultimately improving the effectiveness of anomaly detection methods.Thus, we investigate whether structural equation modeling&nbsp;can describe the system’s or microservices’ behavior via indicators extracted from runtime monitoring data and identify their causal relationships. We used EvoMaster to simulate user behavior&nbsp;in TrainTicket and extract runtime monitoring data to test our model. Our results show that the identified indicators effectively describe microservices’ behavior, but network indicators alone&nbsp;are insufficient for describing the whole system’s behavior. The&nbsp;model can also identify microservices that significantly influence&nbsp;the whole system’s behavior.","2024","2025-03-14 16:13:12","2025-03-14 16:13:12","","404–413","","","","","","","","","","","Springer-Verlag","Berlin, Heidelberg","","","","","","","","event-place: Tartu, Estonia","","","","Metrics; Anomaly detection during runtime; Logs; Microservice; Monitoring data; PLS-SEM; Structural equation model; Traces","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2FTTLI68","conferencePaper","2024","Mehran, Narges; Kimovski, Dragi; Hellwagner, Hermann; Roman, Dumitru; Soylu, Ahmet; Prodan, Radu","Scheduling of Distributed Applications on the Computing Continuum: A Survey","Proceedings of the IEEE/ACM 16th International Conference on Utility and Cloud Computing","979-8-4007-0234-1","","10.1145/3603166.3632540","https://doi.org/10.1145/3603166.3632540","The demand for distributed applications has significantly increased over the past decade, with improvements in machine learning techniques fueling this growth. These applications predominantly utilize Cloud data centers for high-performance computing and Fog and Edge devices for low-latency communication for small-size machine learning model training and inference. The challenge of executing applications with different requirements on heterogeneous devices requires effective methods for solving NP-hard resource allocation and application scheduling problems. The state-of-the-art techniques primarily investigate conflicting objectives, such as the completion time, energy consumption, and economic cost of application execution on the Cloud, Fog, and Edge computing infrastructure. Therefore, in this work, we review these research works considering their objectives, methods, and evaluation tools. Based on the review, we provide a discussion on the scheduling methods in the Computing Continuum.","2024","2025-03-14 16:13:12","2025-03-14 16:13:12","","","","","","","","","UCC '23","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Taormina (Messina), Italy","","","","energy efficiency; cloud; computing continuum; edge; placement; scheduling","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6BSQNZFZ","conferencePaper","2023","Khairy, Mahmoud; Alawneh, Ahmad; Barnes, Aaron; Rogers, Timothy G.","SIMR: Single Instruction Multiple Request Processing for Energy-Efficient Data Center Microservices","Proceedings of the 55th Annual IEEE/ACM International Symposium on Microarchitecture","978-1-6654-6272-3","","10.1109/MICRO56248.2022.00040","https://doi.org/10.1109/MICRO56248.2022.00040","Contemporary data center servers process thousands of similar, independent requests per minute. In the interest of programmer productivity and ease of scaling, workloads in data centers have shifted from single monolithic processes toward a micro and nanoservice software architecture. As a result, single servers are now packed with many threads executing the same, relatively small task on different data.State-of-the-art data centers run these microservices on multi-core CPUs. However, the flexibility offered by traditional CPUs comes at an energy-efficiency cost. The Multiple Instruction Multiple Data execution model misses opportunities to aggregate the similarity in contemporary microservices. We observe that the Single Instruction Multiple Thread execution model, employed by GPUs, provides better thread scaling and has the potential to reduce frontend and memory system energy consumption. However, contemporary GPUs are ill-suited for the latency-sensitive microservice space.To exploit the similarity in contemporary microservices, while maintaining acceptable latency, we propose the Request Processing Unit (RPU). The RPU combines elements of out-of-order CPUs with lockstep thread aggregation mechanisms found in GPUs to execute microservices in a Single Instruction Multiple Request (SIMR) fashion. To complement the RPU, we also propose a SIMR-aware software stack that uses novel mechanisms to batch requests based on their predicted control-flow, split batches based on predicted latency divergence and map per-request memory allocations to maximize coalescing opportunities. Our resulting RPU system processes 5.7× more requests/joule than multi-core CPUs, while increasing single thread latency by only 1.44×.","2023","2025-03-14 16:13:12","2025-03-14 16:13:12","","441–463","","","","","","","MICRO '22","","","","IEEE Press","Chicago, Illinois, USA","","","","","","","","","","","","data center; GPU; microservices; SIMT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7YCHVFZS","conferencePaper","2023","Dinga, Madalina; Malavolta, Ivano; Giamattei, Luca; Guerriero, Antonio; Pietrantuono, Roberto","An Empirical Evaluation of&nbsp;the&nbsp;Energy and&nbsp;Performance Overhead of&nbsp;Monitoring Tools on&nbsp;Docker-Based Systems","Service-Oriented Computing: 21st International Conference, ICSOC 2023, Rome, Italy, November 28 – December 1, 2023, Proceedings, Part I","978-3-031-48420-9","","10.1007/978-3-031-48421-6_13","https://doi.org/10.1007/978-3-031-48421-6_13","Context. Energy efficiency is gaining importance in the design of software systems, but is still marginally addressed in the area of microservice-based systems. Energy-related aspects often get neglected in favor of other software quality attributes, such as performance, service composition, maintainability, and security.Goal. The aim of this study is to identify, synthesize and empirically evaluate the energy and performance overhead of monitoring tools employed in the microservices and DevOps context.Method. We selected four representative monitoring tools in the microservices and DevOps context. These were evaluated via a controlled experiment on an open-source Docker-based microservice benchmark system.Results. The results highlight: i) the specific frequency and workload conditions under which energy consumption and performance metrics are impacted by the tools; ii) the differences between the tools; iii) the relation between energy and performance overhead.","2023","2025-03-14 16:13:12","2025-03-14 16:13:12","","181–196","","","","","","","","","","","Springer-Verlag","Berlin, Heidelberg","","","","","","","","event-place: Rome, Italy","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GQA6VC83","conferencePaper","2023","Thiede, John; Bashir, Noman; Irwin, David; Shenoy, Prashant","Carbon Containers: A System-level Facility for Managing Application-level Carbon Emissions","Proceedings of the 2023 ACM Symposium on Cloud Computing","979-8-4007-0387-4","","10.1145/3620678.3624644","https://doi.org/10.1145/3620678.3624644","To reduce their environmental impact, cloud datacenters' are increasingly focused on optimizing applications' carbon-efficiency, or work done per mass of carbon emitted. To facilitate such optimizations, we present Carbon Containers, a simple system-level facility, which extends prior work on power containers, that automatically regulates applications' carbon emissions in response to variations in both their work-load's intensity and their energy's carbon-intensity. Specifically, Carbon Containers enable applications to specify a maximum carbon emissions rate (in g.CO2e/hr), and then transparently enforce this rate via a combination of vertical scaling, container migration, and suspend/resume while maximizing either energy-efficiency or performance.Carbon Containers are especially useful for applications that i) must continue running even during high-carbon periods, and ii) execute in regions with few variations in carbon-intensity. These low-variability regions also tend to have high average carbon-intensity, which increases the importance of regulating carbon emissions. We implement a Carbon Container prototype by extending Linux Containers to incorporate the mechanisms above and evaluate it using real workload traces and carbon-intensity data from multiple regions. We compare Carbon Containers with prior work that regulates carbon emissions by suspending/resuming applications during high/low carbon periods. We show that Carbon Containers are more carbon-efficient and improve performance while maintaining similar carbon emissions.","2023","2025-03-14 16:13:12","2025-03-14 16:13:12","","17–31","","","","","","","SoCC '23","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Santa Cruz, CA, USA","","","","Carbon-efficiency; energy-efficiency; performance","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"R9IFUNBI","conferencePaper","2024","Ghosh, Anyesha; Yadwadkar, Neeraja J.; Erez, Mattan","Fast and Efficient Scaling for Microservices with SurgeGuard","Proceedings of the International Conference for High Performance Computing, Networking, Storage, and Analysis","979-8-3503-5291-7","","10.1109/SC41406.2024.00103","https://doi.org/10.1109/SC41406.2024.00103","The microservice architecture is increasingly popular for flexible, large-scale online applications. However, existing resource management mechanisms incur high latency in detecting Quality of Service (QoS) violations, and hence, fail to allocate resources effectively under commonly-observed varying load conditions. This results in over-allocation coupled with a late response that increase both the total cost of ownership and the magnitude of each QoS violation event. We present SurgeGuard, a decentralized resource controller for microservice applications specifically designed to guard application QoS during surges in load and network latency. SurgeGuard uses the key insight that for rapid detection and effective management of QoS violations, the controller must be aware of any available slack in latency and communication patterns between microservices within a task-graph. Our experiments show that for the workloads in DeathStarBench, SurgeGuard on average reduces the combined violation magnitude and duration by 61.1%% and 93.7%%, respectively, compared to the well-known Parties and Caladan algorithms, and requires 8% fewer resources than Parties.","2024","2025-03-14 16:13:12","2025-03-14 16:13:12","","","","","","","","","SC '24","","","","IEEE Press","Atlanta, GA, USA","","","","","","","","","","","","Cloud computing; microservices; datacenters; quality-of-service; resource management; serverless","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
