"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"A Configurable Cloud-Scale DNN Processor for Real-Time AI","J. Fowers; K. Ovtcharov; M. Papamichael; T. Massengill; M. Liu; D. Lo; S. Alkalay; M. Haselman; L. Adams; M. Ghandi; S. Heil; P. Patel; A. Sapek; G. Weisz; L. Woods; S. Lanka; S. K. Reinhardt; A. M. Caulfield; E. S. Chung; D. Burger",Microsoft; Microsoft; Microsoft; Microsoft; Microsoft; Microsoft; Microsoft; Microsoft; Microsoft; Microsoft; Microsoft; Microsoft; Microsoft; Microsoft; Microsoft; Microsoft; Microsoft; Microsoft; Microsoft; Microsoft,2018 ACM/IEEE 45th Annual International Symposium on Computer Architecture (ISCA),"23 Jul 2018","2018","","","1","14","Interactive AI-powered services require low-latency evaluation of deep neural network (DNN) models-aka """"real-time AI"""". The growing demand for computationally expensive, state-of-the-art DNNs, coupled with diminishing performance gains of general-purpose architectures, has fueled an explosion of specialized Neural Processing Units (NPUs). NPUs for interactive services should satisfy two requirements: (1) execution of DNN models with low latency, high throughput, and high efficiency, and (2) flexibility to accommodate evolving state-of-the-art models (e.g., RNNs, CNNs, MLPs) without costly silicon updates. This paper describes the NPU architecture for Project Brainwave, a production-scale system for real-time AI. The Brainwave NPU achieves more than an order of magnitude improvement in latency and throughput over state-of-the-art GPUs on large RNNs at a batch size of 1. The NPU attains this performance using a single-threaded SIMD ISA paired with a distributed microarchitecture capable of dispatching over 7M operations from a single instruction. The spatially distributed microarchitecture, scaled up to 96,000 multiply-accumulate units, is supported by hierarchical instruction decoders and schedulers coupled with thousands of independently addressable high-bandwidth on-chip memories, and can transparently exploit many levels of fine-grain SIMD parallelism. When targeting an FPGA, microarchitectural parameters such as native datapaths and numerical precision can be ""synthesis specialized"" to models at compile time, enabling atypically high FPGA performance competitive with hardened NPUs. When running on an Intel Stratix 10 280 FPGA, the Brainwave NPU achieves performance ranging from ten to over thirty-five teraflops, with no batching, on large, memory-intensive RNNs.","2575-713X","978-1-5386-5984-7","10.1109/ISCA.2018.00012","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8416814","neural network hardware;accelerator architectures;field programmable gate arrays","Field programmable gate arrays;Computer architecture;Throughput;Parallel processing;Real-time systems;Microarchitecture;Computational modeling","","361","2","60","IEEE","23 Jul 2018","","","IEEE","IEEE Conferences"
"Designing a Smart City Internet of Things Platform with Microservice Architecture","A. Krylovskiy; M. Jahn; E. Patti","Fraunhofer FIT, Sankt Augustin, Germany; Fraunhofer FIT, Sankt Augustin, Germany; Dept. of Control and Computer Engineering, Italy",2015 3rd International Conference on Future Internet of Things and Cloud,"26 Oct 2015","2015","","","25","30","The Internet of Things (IoT) is being adopted in different application domains and is recognized as one of the key enablers of the Smart City vision. Despite the standardization efforts and wide adoption of Web standards and cloud computing technologies, however, building large-scale Smart City IoT platforms in practice remains challenging. The dynamically changing IoT environment requires these systems to be able to scale and evolve over time adopting new technologies and requirements. In response to the similar challenges in building large-scale distributed applications and platforms on the Web, micro service architecture style has emerged and gained a lot of popularity in the industry in recent years. In this work, we share our early experience of applying the micro service architecture style to design a Smart City IoT platform. Our experience suggests significant benefits provided by this architectural style compared to the more generic Service-Oriented Architecture (SOA) approaches, as well as highlights some of the challenges it introduces.","","978-1-4673-8103-1","10.1109/FiCloud.2015.55","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7300793","","Smart cities;Computer architecture;Data models;Standards;Architecture;Interoperability","","161","","27","IEEE","26 Oct 2015","","","IEEE","IEEE Conferences"
"Horizontal and Vertical Scaling of Container-Based Applications Using Reinforcement Learning","F. Rossi; M. Nardelli; V. Cardellini","Dept. of Computer Science and Civil Engineering, University of Rome Tor Vergata, Italy; Dept. of Computer Science and Civil Engineering, University of Rome Tor Vergata, Italy; Dept. of Computer Science and Civil Engineering, University of Rome Tor Vergata, Italy",2019 IEEE 12th International Conference on Cloud Computing (CLOUD),"29 Aug 2019","2019","","","329","338","Software containers are changing the way distributed applications are executed and managed on cloud computing resources. Interestingly, containers offer the possibility of handling workload fluctuations by exploiting both horizontal and vertical elasticity ""on the fly"". However, most of the existing control policies consider horizontal and vertical scaling as two disjointed control knobs. In this paper, we propose Reinforcement Learning (RL) solutions for controlling the horizontal and vertical elasticity of container-based applications with the goal to increase the flexibility to cope with varying workloads. Although RL represents an interesting approach, it may suffer from a possible long learning phase, especially when nothing about the system is known a-priori. To speed up the learning process and identify better adaptation policies, we propose RL solutions that exploit different degrees of knowledge about the system dynamics (i.e., Q-learning, Dyna-Q, and Model-based). We integrate the proposed policies in Elastic Docker Swarm, our extension that introduces self-adaptation capabilities in the container orchestration tool Docker Swarm. We demonstrate the effectiveness and flexibility of model-based RL policies through simulations and prototype-based experiments.","2159-6190","978-1-7281-2705-7","10.1109/CLOUD.2019.00061","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8814555","Reinforcement Learning, Elasticity, Self adaptation, Container, Docker","Elasticity;Containers;Adaptation models;Cloud computing;Computational modeling;System dynamics;Tools","","99","","24","IEEE","29 Aug 2019","","","IEEE","IEEE Conferences"
"Towards Network-Aware Resource Provisioning in Kubernetes for Fog Computing Applications","J. Santos; T. Wauters; B. Volckaert; F. De Turck","IDLab, Ghent University - imec, Gent, Belgium; IDLab, Ghent University - imec, Gent, Belgium; IDLab, Ghent University - imec, Gent, Belgium; IDLab, Ghent University - imec, Gent, Belgium",2019 IEEE Conference on Network Softwarization (NetSoft),"22 Aug 2019","2019","","","351","359","Nowadays, the Internet of Things (IoT) continues to expand at enormous rates. Smart Cities powered by connected sensors promise to transform public services from transportation to environmental monitoring and healthcare to improve citizen welfare. Furthermore, over the last few years, Fog Computing has been introduced to provide an answer to the massive growth of heterogeneous devices connected to the network. Nevertheless, providing a proper resource scheduling for delay-sensitive and data-intensive services in Fog Computing environments is still a key research domain. Therefore, in this paper, a network-aware scheduling approach for container-based applications in Smart City deployments is proposed. Our proposal has been validated on the Kubernetes platform, an open source orchestrator for the automatic management and deployment of micro-services. Our approach has been implemented as an extension to the default scheduling mechanism available in Kubernetes, enabling Kubernetes to make resource provisioning decisions based on the current status of the network infrastructure. Evaluations based on Smart City container-based applications have been carried out to compare the performance of the proposed scheduling approach with the standard scheduling feature available in Kubernetes. Results show that the proposed approach achieves reductions of 80% in terms of network latency when compared to the default scheduling mechanism.","","978-1-5386-9376-6","10.1109/NETSOFT.2019.8806671","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8806671","Smart Cities;IoT;Fog Computing;Resource Provisioning;Kubernetes","Internet of Things;Containers;Smart cities;Servers;Scheduling;Edge computing;Processor scheduling","","95","","22","IEEE","22 Aug 2019","","","IEEE","IEEE Conferences"
"Blockchain network slice broker in 5G: Slice leasing in factory of the future use case","J. Backman; S. Yrjölä; K. Valtanen; O. Mämmelä","VTT Technical Research Centre of Finland Ltd., Oulu, Finland; Nokia, Oulu, Finland; VTT Technical Research Centre of Finland Ltd., Oulu, Finland; VTT Technical Research Centre of Finland Ltd., Oulu, Finland","2017 Internet of Things Business Models, Users, and Networks","18 Jan 2018","2017","","","1","8","5G Network Slice Broker concept aims to enable mobile virtual network operators, over-the-top providers, and industry vertical market players to request and lease resources from infrastructure providers dynamically according to needs. In the future digital factory, the leasing of resources could also happen autonomously by manufacturing equipment. This paper presents Blockchain Slice Leasing Ledger Concept and analysis of its applicability in the Factory of the Future. The novel concept utilizes 5G Network Slice Broker in a Blockchain to reduce service creation time and enable manufacturing equipment autonomously and dynamically acquire the slice needed for more efficient operations.","","978-1-5386-3197-3","10.1109/CTTE.2017.8260929","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8260929","blockchain;manufacturing;network management;network slicing;5G;IIoT","5G mobile communication;Production facilities;Reliability;Manufacturing;Peer-to-peer computing","","90","","30","IEEE","18 Jan 2018","","","IEEE","IEEE Conferences"
"City of things: An integrated and multi-technology testbed for IoT smart city experiments","S. Latre; P. Leroux; T. Coenen; B. Braem; P. Ballon; P. Demeester","Department of Mathematics and Computer Science, University of Antwerp - iMinds, Belgium; Department of Information Technology, Ghent University - iMinds, Belgium; Free University of Brussels - iMinds, Belgium; Department of Mathematics and Computer Science, University of Antwerp - iMinds, Belgium; Free University of Brussels - iMinds, Belgium; Department of Information Technology, Ghent University - iMinds, Belgium",2016 IEEE International Smart Cities Conference (ISC2),"3 Oct 2016","2016","","","1","8","While smart cities have the potential to monitor and control the city in real-time through sensors and actuators, there is still an important road ahead to evolve from isolated smart city experiments to real large-scale deployments. Important research questions remain on how and which wireless technologies should be setup for connecting the city, how the data should be analysed and how the acceptance by users of applications can be assessed. In this paper we present the City of Things testbed, which is a smart city testbed located in the city of Antwerp, Belgium to address these questions. It allows the setup and validation of new smart city experiments both at a technology and user level. City of Things consists of a multi-wireless technology network infrastructure, the capacity to easily perform data experiments on top and a living lab approach to validate the experiments. In comparison to other smart city testbeds, City of Things consists of an integrated approach, allowing experimentation on three different layers: networks, data and living lab while supporting a wide range of wireless technologies. We give an overview of the City of Things architecture, explain how researchers can perform smart city experiments and illustrate this by a case study on air quality.","","978-1-5090-1846-8","10.1109/ISC2.2016.7580875","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7580875","","Smart cities;Wireless sensor networks;Logic gates;Wireless communication;Intelligent sensors","","88","","21","IEEE","3 Oct 2016","","","IEEE","IEEE Conferences"
"DeepRecSys: A System for Optimizing End-To-End At-Scale Neural Recommendation Inference","U. Gupta; S. Hsia; V. Saraph; X. Wang; B. Reagen; G. -Y. Wei; H. -H. S. Lee; D. Brooks; C. -J. Wu",Harvard University; Harvard University; Facebook Inc.; Facebook Inc.; Facebook Inc.; Harvard University; Facebook Inc.; Harvard University; Facebook Inc.,2020 ACM/IEEE 47th Annual International Symposium on Computer Architecture (ISCA),"13 Jul 2020","2020","","","982","995","Neural personalized recommendation is the cornerstone of a wide collection of cloud services and products, constituting significant compute demand of cloud infrastructure. Thus, improving the execution efficiency of recommendation directly translates into infrastructure capacity saving. In this paper, we propose DeepRecSched, a recommendation inference scheduler that maximizes latency-bounded throughput by taking into account characteristics of inference query size and arrival patterns, model architectures, and underlying hardware systems. By carefully optimizing task versus data-level parallelism, DeepRecSched improves system throughput on server class CPUs by $2 \times$ across eight industry-representative models. Next, we deploy and evaluate this optimization in an at-scale production datacenter which reduces end-to-end tail latency across a wide variety of recommendation models by 30%. Finally, DeepRecSched demonstrates the role and impact of specialized AI hardware in optimizing system level performance (QPS) and power efficiency (QPS/watt) of recommendation inference.In order to enable the design space exploration of customized recommendation systems shown in this paper, we design and validate an end-to-end modeling infrastructure, DeepRecInfra. DeepRecInfra enables studies over a variety of recommendation use cases, taking into account at-scale effects, such as query arrival patterns and recommendation query sizes, observed from a production datacenter, as well as industry-representative models and tail latency targets.","","978-1-7281-4661-4","10.1109/ISCA45697.2020.00084","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9138960","","","","87","","73","IEEE","13 Jul 2020","","","IEEE","IEEE Conferences"
"How to Best Deploy Your Fog Applications, Probably","A. Brogi; S. Forti; A. Ibrahim","Universita degli Studi di Pisa, Pisa, Toscana, IT; Universita degli Studi di Pisa, Pisa, Toscana, IT; Universita degli Studi di Pisa, Pisa, Toscana, IT",2017 IEEE 1st International Conference on Fog and Edge Computing (ICFEC),"24 Aug 2017","2017","","","105","114","Deploying composite applications to Fog nodes in a QoS-and context-aware manner is challenging due to the heterogeneity and scale of Fog infrastructures. Application components must be provided with the software and hardware capabilities they need. Communication links that support interactions between components must meet certain QoS (latency and bandwidth). On the other hand, different Fog and Cloud nodes provide different software and hardware capabilities, and actual communication links support different QoS over time. In this paper we present a prototype (FogTorchII) capable of determining deployments of composite applications to Fog infrastructures, which fulfil software, hardware and QoS requirements. FogTorchII exploits Monte Carlo simulations to take into account possible variations of the QoS of communication links. It classifies eligible deployments both in terms of QoS-assurance and of Fog resource consumption. We illustrate the utility of FogTorchII over a motivating example where we compare different possible deployments for a smart agriculture application.","","978-1-5090-3047-7","10.1109/ICFEC.2017.8","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8014366","Fog applications;QoS;Monte Carlo simulations","Quality of service;Bandwidth;Hardware;Cloud computing;Agriculture;Sensors","","86","","","IEEE","24 Aug 2017","","","IEEE","IEEE Conferences"
"A Comparative Study of Containers and Virtual Machines in Big Data Environment","Q. Zhang; L. Liu; C. Pu; Q. Dou; L. Wu; W. Zhou","IBM Thomas J. Watson Research, New York, USA; College of Computing, Georgia Institute of Technology, Georgia, USA; College of Computing, Georgia Institute of Technology, Georgia, USA; Software School, Yunnan University, Yunnan, China; Software School, Yunnan University, Yunnan, China; Software School, Yunnan University, Yunnan, China",2018 IEEE 11th International Conference on Cloud Computing (CLOUD),"11 Sep 2018","2018","","","178","185","Container technique is gaining increasing attention in recent years and has become an alternative to traditional virtual machines. Some of the primary motivations for the enterprise to adopt the container technology include its conveniency to encapsulate and deploy applications, lightweight operations, as well as efficiency and flexibility in resources sharing. However, there still lacks an in-depth and systematic comparison study on how big data applications, such as Spark jobs, perform between a container environment and a virtual machine environment. In this paper, by running various Spark applications with different configurations, we evaluate the two environments from many interesting aspects, such as how convenient the execution environment can be set up, what are makespans of different workloads running in each setup, how efficient the hardware resources, such as CPU and memory, are utilized, and how well each environment can scale. The results show that compared with virtual machines, containers provide a more easy-to-deploy and scalable environment for big data workloads. The research work in this paper can help practitioners and researchers to make more informed decisions on tuning their cloud environment and configuring the big data applications, so as to achieve better performance and higher resources utilization.","2159-6190","978-1-5386-7235-8","10.1109/CLOUD.2018.00030","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8457798","virtual machine;container;cloud computing","Containers;Cloud computing;Virtual machining;Big Data;Sparks;Hardware;Resource management","","84","1","38","IEEE","11 Sep 2018","","","IEEE","IEEE Conferences"
"TeaStore: A Micro-Service Reference Application for Benchmarking, Modeling and Resource Management Research","J. von Kistowski; S. Eismann; N. Schmitt; A. Bauer; J. Grohmann; S. Kounev",University of Würzburg; University of Würzburg; University of Würzburg; University of Würzburg; University of Würzburg; University of Würzburg,"2018 IEEE 26th International Symposium on Modeling, Analysis, and Simulation of Computer and Telecommunication Systems (MASCOTS)","8 Nov 2018","2018","","","223","236","Modern distributed applications offer complex performance behavior and many degrees of freedom regarding deployment and configuration. Researchers employ various methods of analysis, modeling, and management that leverage these degrees of freedom to predict or improve non-functional properties of the software under consideration. In order to demonstrate and evaluate their applicability in the real world, methods resulting from such research areas require test and reference applications that offer a range of different behaviors, as well as the necessary degrees of freedom. Existing production software is often inaccessible for researchers or closed off to instrumentation. Existing testing and benchmarking frameworks, on the other hand, are either designed for specific testing scenarios, or they do not offer the necessary degrees of freedom. Further, most test applications are difficult to deploy and run, or are outdated. In this paper, we introduce the TeaStore, a state-of-the-art micro-service-based test and reference application. TeaStore offers services with different performance characteristics and many degrees of freedom regarding deployment and configuration to be used as a benchmarking framework for researchers. The TeaStore allows evaluating performance modeling and resource management techniques; it also offers instrumented variants to enable extensive run-time analysis. We demonstrate TeaStore's use in three contexts: performance modeling, cloud resource management, and energy efficiency analysis. Our experiments show that TeaStore can be used for evaluating novel approaches in these contexts and also motivates further research in the areas of performance modeling and resource management.","2375-0227","978-1-5386-6886-3","10.1109/MASCOTS.2018.00030","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8526888","Microservice;Benchmarking;Performance;Power;Energy Efficiency;Models;Auto Scaler;Container;Cloud","Benchmark testing;Software;Analytical models;Resource management;Predictive models;Instruments","","72","","61","IEEE","8 Nov 2018","","","IEEE","IEEE Conferences"
