"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"7I276PRY","journalArticle","","Lee, J.; Lee, E.","","Concerto: Dynamic Processor Scaling for Distributed Data Systems with Replication","","","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85152893965&partnerID=40&md5=17b07cf96ec5014b135659d14b643c16","","","2025-10-22 19:07:31","2025-10-22 19:07:31","","","","","","","","","","","","","","","","","","Scopus","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"N8MMQKBI","journalArticle","","Yu, G.; Chen, P.; Zheng, Z.","","Microscaler: Cost-effective Scaling for Microservice Applications in the Cloud with an Online Learning Approach","","","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85152899663&partnerID=40&md5=3f976483d64a3921d4744594dfd7fd2b","","","2025-10-22 19:07:31","2025-10-22 19:07:31","","","","","","","","","","","","","","","","","","Scopus","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9Z8PMTJ5","journalArticle","","Nunes, J.P.K.S.; Bianchi, T.; Iwazaki, A.Y.; Yumi Nakagawa, E.","","State of the Art on Microservices Autoscaling: An Overview","","","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85152945254&partnerID=40&md5=0c94550016431536c44d5c576456f868","","","2025-10-22 19:07:31","2025-10-22 19:07:31","","","","","","","","","","","","","","","","","","Scopus","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"A6CNYHV4","journalArticle","","Koschel, A.; Bertram, M.; Bischof, R.; Schulze, K.; Schaaf, M.; Astrova, I.","","A Look at Service Meshes","","","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85152899368&partnerID=40&md5=ae873a97b27551e01770900057775d86","","","2025-10-22 19:07:31","2025-10-22 19:07:31","","","","","","","","","","","","","","","","","","Scopus","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NW5XZCUZ","journalArticle","","GhatrehSamani, D.; Denninnart, C.; Bacik, J.; Salehi, M.A.","","The Art of CPU-Pinning: Evaluating and Improving the Performance of Virtualization and Containerization Platforms","","","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85152902834&partnerID=40&md5=7577bbb4e9265cdbdda74e6606c8f509","","","2025-10-22 19:07:31","2025-10-22 19:07:31","","","","","","","","","","","","","","","","","","Scopus","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"T4KCPCVF","journalArticle","","Li, W.; Lemieux, Y.; Zhao, Z.; Han, Y.","","Service Mesh: Challenges, State of the Art, and Future Research Opportunities","","","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85152918160&partnerID=40&md5=eaba2e6d3392b7a7ab39dcbc3a0aa180","","","2025-10-22 19:07:31","2025-10-22 19:07:31","","","","","","","","","","","","","","","","","","Scopus","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HT8EHW4L","journalArticle","","","","A Service Mesh for Kubernetes","","","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85152940191&partnerID=40&md5=ccc5fb89a90c1ecdc06fe036da60dadc","","","2025-10-22 19:07:31","2025-10-22 19:07:31","","","","","","","","","","","","","","","","","","Scopus","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GMU2YCWU","journalArticle","2025","Devey, K.; Hunt, D.; MacNamara, C.","","Power Management - Technology Overview","","","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140956119&partnerID=40&md5=f29610258cb4972de6128d3f6cf36de6","","2025","2025-10-22 19:07:31","2025-10-22 19:07:31","","","","","","","","","","","","","","","","","","Scopus","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XPKN54JN","journalArticle","2004","","","Intel Corporation Enhanced SpeedStep® Technology for the Intel ® Pentium ® M Processor White Paper","","","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85152933943&partnerID=40&md5=b794b477ace6efb945c869cd9b736be8","","2004","2025-10-22 19:07:31","2025-10-22 19:07:31","","","","","","","","","","","","","","","","","","Scopus","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"H7LSCGAA","journalArticle","","Schöne, R.; Ilsche, T.; Bielert, M.; Gocht, A.; Hackenberg, D.","","Energy Efficiency Features of the Intel Skylake-SP Processor and Their Impact on Performance","","","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85152934125&partnerID=40&md5=d246c91fdd6f5ddb8faeaadd01681118","","","2025-10-22 19:07:31","2025-10-22 19:07:31","","","","","","","","","","","","","","","","","","Scopus","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QKFR6ZZA","journalArticle","","","","Microservices-framework-benchmark","","","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85152944158&partnerID=40&md5=139f58eeb8869be94b790b024d25554e","","","2025-10-22 19:07:31","2025-10-22 19:07:31","","","","","","","","","","","","","","","","","","Scopus","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8P5ZGDJ9","journalArticle","","","","","","","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85152937873&partnerID=40&md5=1240468af2a3a798a680668ead25291a","","","2025-10-22 19:07:31","2025-10-22 19:07:31","","","","","","","","","","","","","","","","","","Scopus","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5I9XS3PE","journalArticle","2018","Torquato, M.; Umesh, I.M.; Maciel, P.","Models for availability and power consumption evaluation of a private cloud with VMM rejuvenation enabled by VM Live Migration","Journal of Supercomputing","","","10.1007/s11227-018-2485-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85050183501&doi=10.1007%2fs11227-018-2485-4&partnerID=40&md5=8bfcb412dc10cf373fbf828d3180d49a","Software aging affects the availability of Virtual Machine Monitor (VMM), one of the main components of virtualized environments. Software aging causes internal software degradation due to bugs activation and accumulation during its execution. Software rejuvenation implemented through Virtual Machine (VM) Live Migration may be applied to cope with software aging effects on cloud computing system. Another relevant problem is the power consumption of using software rejuvenation techniques in the virtualized environments. This paper presents availability models based on Stochastic Petri Nets to evaluate two VM Live Migration approaches. These approaches are based on the redundancy schemes: Warm-Standby and Cold-Standby. In the Cold-Standby migration, the migration target machine is started only before the VM Live Migration. In the Warm-Standby Migration, the migration target machine runs along with the source migration machine. Results show that VM Live Migration causes a significant improvement in system availability. Scenarios with a heavy workload present an annual downtime reduction of 164 h. The availability comparison between two approaches reveals that the Cold-Standby approach has a slightly better result due to the decrease in the total number of VM Live Migrations. The power consumption results show that Cold-Standby approach is more efficient in power consumption. In all the observed scenarios, the costs savings by using Cold-Standby approach exceed 40%. The highlights of this paper are: i) a comprehensive model for availability evaluation of cloud computing with VMM rejuvenation through VM migration scheduling; ii) sensitivity analysis to define proper rejuvenation scheduling to maximize system availability and iii) power consumption comparison of the two adopted migration approaches. © 2018, Springer Science+Business Media, LLC, part of Springer Nature.","2018","2025-10-22 19:07:31","2025-10-22 19:07:31","","4817-4841","","9","74","","","","","","","","","","","","","Scopus","","","","","","","","Scheduling; Electric power utilization; Virtualized environment; Energy efficiency; Cloud computing; Program debugging; Virtual reality; Green computing; Virtual machine; Sensitivity analysis; Network security; Stochastic systems; Stochastic models; Availability; Petri nets; Machine components; System availability; Comprehensive model; Endocrinology; Live migrations; Power consumption; Software aging; Software aging and rejuvenation; Software rejuvenation; Stochastic Petri Nets; Virtual machine monitors; VM Live Migration","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
