DOI,round_5,round_4,round_3,round_2,round_1,record_id,Author,Title,Publication Title,ISBN,ISSN,Url,Date,Series,Series Number,Series Text,Series Title,Publisher,Place,Abstract,ISBNs,Funding Information,PDF Link,Author Keywords,Mesh_Terms,Article Citation Count,Patent Citation Count,Reference Count,License,Issue Date,Meeting Date,Author full names,Author(s) ID,Year,Source title,Art. No.,Page start,Page end,Page count,Cited by,Link,Publication Stage,Open Access,Source,EID,Keywords,asreview_prior,exported_notes_1,asreview_ranking
10.1007/978-3-030-27878-6_16,0,0,0,0,0,293,"Kozhevnikov, Sergey; Skobelev, Petr; Pribyl, Ondrej; Svítek, Miroslav",Development of Resource-Demand Networks for Smart Cities 5.0,"Industrial Applications of Holonic and Multi-Agent Systems: 9th International Conference, HoloMAS 2019, Linz, Austria, August 26–29, 2019, Proceedings",978-3-030-27877-9,,https://doi.org/10.1007/978-3-030-27878-6_16,2019,,,,,Springer-Verlag,"Berlin, Heidelberg","In the paper, the new vision of “Smart City 5.0” is presented. It is based on a previously developed model of Smart City 4.0 and implementing the concept of the complex adaptive system for balancing conflict interests of different city actors. These actors can include business, transport, energy and water supply providers, entertainment and other services and can be unified based on resource and demand model.The paper describes the general principals, functionality and the architecture of the digital multi-agent platform for creating eco-system of “Smart City 5.0”. It is designed as holonic p2p network of smart services and technological components for supporting demand-resource relations.It is shown that in proposed eco-system smart services can interact both vertically and horizontally supporting competition and cooperation behavior on the basis of specialized protocols of p2p network. In the future, each smart service is considered as an autonomous cyber-physical multi-agent system which can be decomposed on a lower level of smaller services recursively.The first prototypes of smart services and their interaction are presented, the next steps for future research work are outlined.",,,,,,,,,,,,,,,,,,,,,,,,,,Artificial intelligence; Digital eco-system; Holonic system; Multi-agent technology; Smart City 5.0; Smart services,,,388
10.1007/978-3-030-30856-8_5,0,0,0,0,0,137,"Moghaddam, Mahyar Tourchi; Muccini, Henry",Fault-Tolerant IoT: A Systematic Mapping Study,"Software Engineering for Resilient Systems: 11th International Workshop, SERENE 2019, Naples, Italy, September 17, 2019, Proceedings",978-3-030-30855-1,,https://doi.org/10.1007/978-3-030-30856-8_5,2019,,,,,Springer-Verlag,"Berlin, Heidelberg","A failure may occur at all architectural levels of the Internet of Things (IoT) applications: sensor and actuator nodes can be missed, network links can be down, and processing and storage components can fail to perform properly. That is the reason for which fault-tolerance (FT) has become a crucial concern for IoT systems.Our study aims at identifying and classifying the existing FT mechanisms that can tolerate the IoT systems failure. In line with a systematic mapping study selection procedure, we picked out 60 papers among over 2300 candidate studies. To this end, we applied a rigorous classification and extraction framework to select and analyze the most influential domain-related information. Our analysis revealed the following main findings: (i) whilst researchers tend to study fault-tolerant IoT (FT-IoT) in cloud level only, several studies extend the application to fog and edge computing; (ii) there is a growing scientific interest on using the microservices architecture to address FT in IoT systems; (iii) the IoT components distribution, collaboration and intelligent elements location impact the system resiliency. This study gives a foundation to classify the existing and future approaches for fault-tolerant IoT, by classifying a set of methods, techniques and architectures that are potentially capable to reduce IoT systems failure.",,,,,,,,,,,,,,,,,,,,,,,,,,Internet of Things; Fault-tolerance; Software architecture; Systematic mapping study,,,684
10.1007/978-3-030-39306-9_4,0,0,0,0,0,286,"Capizzi, Antonio; Distefano, Salvatore; Mazzara, Manuel",From DevOps to DevDataOps: Data Management in DevOps Processes,"Software Engineering Aspects of Continuous Development and New Paradigms of Software Production and Deployment: Second International Workshop, DEVOPS 2019, Château de Villebrumier, France, May 6–8, 2019, Revised Selected Papers",978-3-030-39305-2,,https://doi.org/10.1007/978-3-030-39306-9_4,2019,,,,,Springer-Verlag,"Berlin, Heidelberg","DevOps is a quite effective approach for managing software development and operation, as confirmed by plenty of success stories in real applications and case studies. DevOps is now becoming the main-stream solution adopted by the software industry in development, able to reduce the time to market and costs while improving quality and ensuring evolvability and adaptability of the resulting software architecture. Among the aspects to take into account in a DevOps process, data is assuming strategic importance, since it allows to gain insights from the operation directly into the development, the main objective of a DevOps approach. Data can be therefore considered as the fuel of the DevOps process, requiring proper solutions for its management. Based on the amount of data generated, its variety, velocity, variability, value and other relevant features, DevOps data management can be mainly framed into the BigData category. This allows exploiting BigData solutions for the management of DevOps data generated throughout the process, including artefacts, code, documentation, logs and so on. This paper aims at investigating data management in DevOps processes, identifying related issues, challenges and potential solutions taken from the BigData world as well as from new trends adopting and adapting DevOps approaches in data management, i.e. DataOps.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,485
10.1007/978-3-030-42051-2_16,0,0,0,0,0,295,"Karagiannis, Ioannis; Mavrogiannis, Konstantinos; Soldatos, John; Drakoulis, Dimitris; Troiano, Ernesto; Polyviou, Ariana",Blockchain Based Sharing of Security Information for Critical Infrastructures of the Finance Sector,"Computer Security: ESORICS 2019 International Workshops, IOSec, MSTEC, and FINSEC, Luxembourg City, Luxembourg, September 26–27, 2019, Revised Selected Papers",978-3-030-42050-5,,https://doi.org/10.1007/978-3-030-42051-2_16,2019,,,,,Springer-Verlag,"Berlin, Heidelberg","Recent security incidents in the finance sector have demonstrated the importance of sharing security information across financial institutions, as a means of mitigating risks and boosting the early preparedness against relevant attacks. However, financial institutions are in several cases reluctant to share security information beyond what is imposed by applicable regulations. In this paper, we introduce a blockchain-based solution for sharing security information in a decentralized way, which boosts security and trust in the information sharing process. We also illustrate how the information that is shared across financial institutions can serve as a basis for collaborative security services such as risk assessment.",,,,,,,,,,,,,,,,,,,,,,,,,,Security; Blockchain; Cyber security; Critical infrastructure protection; Finance; Information sharing,,,1425
10.1007/978-3-030-45989-5_8,0,0,0,0,0,77,"Carrusca, André; Gomes, Maria Cecília; Leitão, João",Microservices Management on Cloud/Edge Environments,"Service-Oriented Computing – ICSOC 2019 Workshops: WESOACS, ASOCA, ISYCC, TBCE, and STRAPS, Toulouse, France, October 28–31, 2019, Revised Selected Papers",978-3-030-45988-8,,https://doi.org/10.1007/978-3-030-45989-5_8,2019,,,,,Springer-Verlag,"Berlin, Heidelberg","The microservices architecture is a promising approach for application development, deployment, and evolution, both on cloud and emerging fog/edge platforms. Microservices’ single functionality, small size, and independent development/deployment support faster and cheaper scaling of pressing functionalities on cloud systems. They support applications’ evolution via service reuse and smooth service modification/inclusion. Individual or sets of inter-related services may also be dynamically deployed onto resource-restricted nodes closer to end devices and data sources, which are typical of fog/edge computational platforms. The resulting system is very complex and impossible to be adequately managed manually. This work presents an automatic solution for microservices’ deployment/replication in the fog/edge, adapting the system according to the runtime evaluation of client accesses and resource usage. The evaluation validates the adaptability and performance gains.",,,,,,,,,,,,,,,,,,,,,,,,,,Cloud and fog/edge computing; Microservices architecture; Self-adaptable applications,0.0,EC3,1811
10.1007/978-3-030-47679-3_28,0,0,0,0,0,88,"Balicki, Jerzy; Balicka, Honorata; Dryja, Piotr; Tyszka, Maciej",Multi-criteria Differential Evolution for Optimization of Virtual Machine Resources in Smart City Cloud,"Computer Information Systems and Industrial Management: 19th International Conference, CISIM 2020, Bialystok, Poland, October 16–18, 2020, Proceedings",978-3-030-47678-6,,https://doi.org/10.1007/978-3-030-47679-3_28,2020,,,,,Springer-Verlag,"Berlin, Heidelberg","In a smart city, artificial intelligence tools support citizens and urban services. From the user point of view, smart applications should bring computing to the edge of the cloud, closer to citizens with short latency. However, from the cloud designer point of view, the trade-off between cost, energy and time criteria requires the Pareto solutions. Therefore, the proposed multi-criteria differential evolution can optimize virtual machine resources in smart city clouds to find compromises between preferences of citizens and designers. In this class of distributed computer systems, smart mobile devices share computing workload with the set of virtual machines that can be migrated among the nodes of the cloud. Finally, some numerical results are studied for the laboratory cloud GUT-WUT.",,,,,,,,,,,,,,,,,,,,,,,,,,Artificial intelligence; Differential evolution; Smart city,,,260
10.1007/978-3-030-48340-1_10,0,0,0,0,0,84,"Gaggero, Massimo; Busonera, Giovanni; Pireddu, Luca; Zanetti, Gianluigi",TDM Edge Gateway: A Flexible Microservice-Based Edge Gateway Architecture for Heterogeneous Sensors,"Euro-Par 2019: Parallel Processing Workshops: Euro-Par 2019 International Workshops, Göttingen, Germany, August 26–30, 2019, Revised Selected Papers",978-3-030-48339-5,,https://doi.org/10.1007/978-3-030-48340-1_10,2019,,,,,Springer-Verlag,"Berlin, Heidelberg","How to effectively handle heterogeneous data sources is one of the main challenges in the design of large-scale research computing platforms to collect, analyze and integrate data from IoT sensors. The platform must seamlessly support the integration of myriads of data formats and communication protocols, many being introduced after the platform has been deployed. Edge gateways, devices deployed at the edge of the network near the sensors, communicate with measurement stations using their proper protocol, receive and translate the messages to a standardized format, forward the data to the processing platform and provide local data buffering and preprocessing. In this work we present the TDM Edge Gateway architecture, which we have developed to be used in research contexts to meet the requirements of being self-built, low-cost, and compatible with current or future connected sensors.The architecture is based on a microservice-oriented design implemented with software containerization and leverages publish/subscribe Inter Process Communication to ensure modularity and resiliency. Costs and construction simplicity are ensured by adopting the popular Raspberry Pi Single Board Computer. The resulting platform is lean, flexible and easy to expand and integrate. It does not pose constraints on programming languages to use and relies on standard protocols and data models.",,,,,,,,,,,,,,,,,,,,,,,,,,Edge computing; Embedded; FIWARE; Sensor networks,0.0,EC3,2920
10.1007/978-3-030-48340-1_36,0,0,0,0,0,204,"Shi, Zeshun; Zhou, Huan; Hu, Yang; Koulouzis, Spiros; Rubia, Carlos; Zhao, Zhiming",Co-located and Orchestrated Network Fabric (CONF): An Automated Cloud Virtual Infrastructure for Social Network Applications,"Euro-Par 2019: Parallel Processing Workshops: Euro-Par 2019 International Workshops, Göttingen, Germany, August 26–30, 2019, Revised Selected Papers",978-3-030-48339-5,,https://doi.org/10.1007/978-3-030-48340-1_36,2019,,,,,Springer-Verlag,"Berlin, Heidelberg","Cloud environments can provide virtualized, elastic, controllable and high-quality on-demand infrastructure services for supporting complex distributed applications. However, existing IaaS (Infrastructure-as-a-Service) solutions mainly focus on the automated integration or deployment of generic applications; they lack flexible infrastructure planning and provisioning solutions and do not have rich support for the high service quality and trustworthiness required by social network applications. This paper introduces an automated cloud virtual infrastructure solution for social network applications, called Co-located and Orchestrated Network Fabric (CONF), which was conducted in a recently funded EU H2020 project ARTICONF. CONF aims to improve the existing infrastructure support in the DevOps lifecycle of social network applications to optimize QoS performance metrics as well as ensure fast recovery in the presence of faults or performance drops.",,,,,,,,,,,,,,,,,,,,,,,,,,Cloud; Social network applications; Virtual infrastructure,,,292
10.1007/978-3-030-49435-3_5,0,0,0,0,0,160,"Liebenberg, Martin; Jarke, Matthias",Information Systems Engineering with Digital Shadows: Concept and Case Studies: An Exploratory Paper,"Advanced Information Systems Engineering: 32nd International Conference, CAiSE 2020, Grenoble, France, June 8–12, 2020, Proceedings",978-3-030-49434-6,,https://doi.org/10.1007/978-3-030-49435-3_5,2020,,,,,Springer-Verlag,"Berlin, Heidelberg","The production sector has faced many difficulties in taking full advantage of opportunities found in other web application domains. Production research has focused on sophisticated mathematical models ranging from molecular materials modeling to efficient production control to inter-company supply network logistics. Often, these models have no closed-form solutions; this led to intense simulation research for individual modeling viewpoints, often labeled “Digital Twins”.However, the complexity of the overall system precludes Digital Twins covering more than just a few system perspectives, especially if near-realtime performance is required. Moreover, the wide variety of individual situations and behaviors is usually captured only as statistical uncertainty. In order to achieve better performance and more context adaptation, the interdisciplinary research cluster “Internet of Production” at RWTH Aachen University is exploring the concept of “Digital Shadows”. Digital Shadows can be understood as compact views on dynamic processes, usually combining condensed measurement data with highly efficient simplified mathematical models. In this exploratory paper, we argue based on a couple of initial case studies that Digital Shadows are not just valuable carriers of deep engineering knowledge but due to their small size also help in reducing network congestion and enabling edge computing. These properties could make Digital Shadows an interesting solution to address resilience in other information-intensive dynamic systems.",,,,,,,,,,,,,,,,,,,,,,,,,,Collaborative information systems; Database views; Digital shadows; Internet of Production (IoP); World Wide Lab (WWL),,,789
10.1007/978-3-030-49461-2_36,0,0,0,0,0,300,"Dibowski, Henrik; Massa Gray, Francesco",Applying Knowledge Graphs as Integrated Semantic Information Model for the Computerized Engineering of Building Automation Systems,"The Semantic Web: 17th International Conference, ESWC 2020, Heraklion, Crete, Greece, May 31–June 4, 2020, Proceedings",978-3-030-49460-5,,https://doi.org/10.1007/978-3-030-49461-2_36,2020,,,,,Springer-Verlag,"Berlin, Heidelberg","During the life cycle of a smart building, an extensive amount of heterogeneous information is required to plan, construct, operate and maintain the building and its technical systems. Traditionally, there is an information gap between the different phases and stakeholders, leading to information being exchanged, processed and stored in a variety of mostly human-readable documents. This paper shows how a knowledge graph can be established as integrated information model that can provide the required information for all phases in a machine-interpretable way. The knowledge graph describes and connects all relevant information, which allows combining and applying it in a holistic way. This makes the knowledge graph a key enabler for a variety of advanced, computerized engineering tasks, ranging from the planning and design phases over the commissioning and the operation of a building. The computerized engineering of building automation systems (BAS) with an advanced software tool chain is presented as such a use case in more detail. The knowledge graph is based on standard semantic web technologies and builds on existing ontologies, such as the Brick and QUDT ontologies, with various novel extensions presented in this paper. Special attention is given to the rich semantic definition of the entities, such as the equipment and the typically thousands of datapoints in a BAS, which can be achieved as a combination of contextual modeling and semantic tagging.",,,,,,,,,,,,,,,,,,,,,,,,,,Knowledge graph; Analytics; Building automation system; Building controls; Information model; Semantic definition; Semantic tagging,0.0,EC3,3012
