Title,DOI,"RQ1.1.P1
 Lifecycle Stage","RQ1.1.P2
 Energy Awareness Stage","RQ1.1.P3
 Integration Approach","RQ1.2.P1
 Component Type","RQ1.2.P2
 Energy consumption source","RQ1.2.P3
 Component Relationship","RQ2.1.P1
 Measurement Level","RQ2.1.P2
 Measurement Technique","RQ2.1.P3
 Data Collection","RQ2.1.P4
 Implementation Approach","RQ2.2.P1
 Tool Type","RQ2.2.P2
 Deployment Method","RQ2.2.P3
 Analysis Capability","RQ2.2.P4
 Granularity","RQ2.3.P1
 Metric Type","RQ2.3.P2
 Measurement Scope","RQ2.3.P3
 Normalization Basis","RQ2.3.P4
 Business Relevance","RQ3.1.P1
 Modernization Strategy","RQ3.1.P2
 Solution Category","RQ3.1.P3
 Implementation Technologies","RQ3.2.P1
 Quality Attribute","RQ3.2.P2
 Trade-off Relationship","RQ3.2.P3
 Trade-off Severity","RQ3.2.P4
 Trade-off Strategy","RQ3.3.P1
 Challenge Type","RQ3.3.P2
 Adoption Phase","RQ3.3.P3
 Challenge Complexity","RQ3.3.P4
 Mitigation Approach"
A Black-box Monitoring Approach to Measure Microservices Runtime Performance,10.1145/3418899,Runtime,N/A,Runtime monitoring,Container; pod; host,CPU; power consumption; network activity,N/A,Thread; container; pod; host,RAPL-based power attribution,kernel-level monitoring via eBPF; user-space aggregation; 1s samples ,benchmarking with external tool,"kernel-level monitoring via eBPF; user-space aggregation
",kernel-level instrumentation; user-space agent; remote backend,Per container energy; bottleneck detection,thread; container; pod; host,"Energy (J); Power (W); CPU Usage (%); CPU load avg, RAM (%), Network I/O; Execution time",container; pod; host,n/a,n/a,N/A,N/A,N/A,performance,degrades,N/A,N/A,measurement - difficult to obtain accurate low-level power and performance data without overhead,operation,N/A,N/A
A Microservice Store for Efficient Edge Offloading,10.1109/GLOBECOM38437.2019.9014114,N/A,N/A,N/A,N/A,N/A,N/A,OS-level,Android Battery Manager charge-counter readings,Reading battery charge counter,Android BatteryManager API,Android BatteryManager (OS battery API) ,Android BatteryManager (OS battery API) ,per-execution energy per microservice; cold vs warm start comparison; correlation with latency; comparison to local execution,per execution (per microservice),consumed battery power (per execution); battery life savings (%),single service (per execution),per execution,battery lifetime; end-to-end latency,Edge offloading via microservice store,ochestration/chaining; resource/workload management,Docker; CSAR/TOSCA; MongoDB; Flask; Android; TensorFlow/OpenCV,Latency; energy efficiency,Store placement vs latency/energy,High (14× latency diff; 80–95% battery savings),Co-locate store; warm-start caching; QoS monitoring,N/A,N/A,N/A,N/A
Adaptive Security Framework for the Internet of Things: Improving Threat Detection and Energy Optimization in Distributed Environments,10.1109/ACCESS.2024.3486983,N/A,N/A,N/A,microservices; Kubernetes orchestrator; ROS-based components; IoT sensors; gateways; central processing server,energy consumption from adaptive reconfiguration; communication paths; redistribution of computational resources among IoT nodes; LoRa communication between devices,"dynamic reconfiguration of communication paths and redistribution of resources increases energy consumption but improves resilience
",IoT node and system level,Simulation metrics; power usage modeled (mAh),Multi-scale/multi-domain simulation,Adaptive security framework with ROS + Kubernetes,Adaptive security framework with ROS + Kubernetes,Microservices in containers orchestrated via kubernetes; ROS on IoT nodes/gateways,Threat detection precision; response time; energy consumption monitoring,Device-level and system level,power consumption (mAh); percentage increase in energy consumption under threats,entire IoT system,N/A,N/A,adaptive reconfiguration of communication paths; redistribution of computational resources among IoT nodes; integration of ROS-based adaptive architectures; microservices orchestration with Kubernetes,adaptive security / dynamic reconfiguration,ROS; Kubernetes,Security; energy efficiency; latency,Faster response and higher precision increase energy consumption,Moderate (5-8% higher energy),Dynamic reconfiguaration; load redistribution,technical challenges; device heterogeneity; communication latency; energy-constrained IoT nodes; controlled-environment limitations,operation,complex,N/A
Agile C-states: A Core C-state Architecture for Latency Critical Applications Optimizing both Transition and Cold-Start Latency,10.1145/3674734,N/A,N/A,N/A,service; router; setalgebra; recommend; memcached,CPU Core; caches; branch predictors; FIVR; ADPLL,communication overhead between services,hardware,direct power measurements (RAPL),sampling,external tool (RAPL),RAPL,N/A,N/A,per core,power; average power; core average power savings,entire application,N/A,user-perceived performance,hardware redesign,power management,N/A,Performance,degrades,minor - performance overhead is at most 2%,hardware optimization,technical – unpredictable idle time makes deep C-states ineffective; technical – cold-start latency degrades microservice performance; technical – strict QoS constraints limit use of deep idle states,operation,complex,hardware-based C-state redesign
An Empirical Evaluation of the Energy and Performance Overhead of Monitoring Tools on Docker-Based Systems,10.1007/978-3-031-48421-6_13,Design,N/A,Runtime monitoring,Containers; microservices; monitoring components,CPU; RAM; network traffic,monitoring components running alongisde microservices compete for shared resources; increasing energy consumption,hardware,physical power meter (Watts Up Pro),sampling; 1s samples; 390 runs,external power meter; benchmark system (TrainTicket); experiment runner,energy meter,external device,total energy consumption,Machine level,total energy consumption (J),entire application,N/A,N/A,N/A,N/A,N/A,performance,degrades,"severe — strong correlation between higher energy consumption and increased CPU usage, CPU load, and execution time",N/A,"measurement – energy measurement requires extra effort and technical skills and relies on specialized hardware meters; technical – monitoring components themselves add overhead and compete for resources, complicating energy-efficient operation",operation,complex,N/A
An energy saving approach: understanding microservices as multidimensional entities in p2p networks,10.1145/3412841.3441888,Runtime,Runtime,Runtime monitoring,Services; devices' CPU; RAM; network interface; disk,CPU; RAM; network interfaces; disk,Data transfer between devices increases NIC/disk load and raises energy consumption,Hardware,Model-based estimation,Data frames collecting resource-availability measurements,DRACeo simulator,Simulator,External simulator via API,Network-wide energy consumption,Per device (node),Energy consumption; QoS; energy cost of microservice movements,Entire network,N/A,QoS,Migration; duplication; stopping/starting microservices,Scheduling,MAAN (P2P overlay),QoS,Balances,Moderate - higher energy in stress tests but significantly better QoS,Scheduling algorithm (migration/duplication decisions),Technical - approach needs evaluation in more realistic architectures with additional constraints like discovery and replication restrictions,Software Production stage,Complex,N/A
Analyzing Energy-Efficient and Kubernetes-Based Autoscaling of Microservices Using Probabilistic Model Checking,10.1007/s10723-024-09789-9,Design,Design,"design constraints (as scaling constraints formalized and verified at design time)
","pods; CPU utilization; latency; host energy consumption
",CPU utilization (host energy consumption driven by pod allocation),N/A,Hardware (Host level),Model-based estimation,"sampling (via Kubelet collecting raw metrics)
","external tool (PRISM model checker)
",Model checker,External tool,host energy consumption verification,per host,host energy consumption; energy violation; performance-resource ratio,Infrastructure,N/A,SLA compliance (energy violations indicate breaches of energy thresholds),Energy-driven autoscaling policies,Autoscaling,Kubernetes,Performance (latency),Balances,N/A,"adaptive policy (energy-latency-CPU constrained autoscaling)
",N/A,N/A,N/A,N/A
Anomaly Detection and Root Cause Analysis of Microservices Energy Consumption,10.1109/ICWS62655.2024.00079,N/A,Runtime,Runtime monitoring,service; container,CPU; memory; disk I/O,N/A,container; service,software-based power measurement,Prometheus scraping,external tool,monitoring platform; energy meter,agent,per service energy,container,energy consumption,service,time window,N/A,N/A,N/A,N/A,Performance,degrades,severe - monitoring technologies (e.g. Prometheus) have a substantial impact on system performance and resource consumption,tuning,technical - monitoring tools impose substantial performance and resource overhead; measurement - missing or inconsistent disk usage metrics hinder accurate analysis,operation,N/A,N/A
Containerized Microservices Orchestration and Provisioning in Cloud Computing: A Conceptual Framework and Future Perspectives,10.3390/app12125793,Runtime,Explicitly at runtime,Runtime Monitoring,Containers; virtual machines; physical machines; microservices,CPU; switching equipment; storage devices; network communication,N/A,"Hardware (CPU, switching equipment, storage devices)",Model-based estimation,Monitoring,External Tool,Monitoring Platform (StressCloud),N/A,N/A,N/A,energy consumption; power consumption; power usage efficiency (PUE); carbon footprint,Infrastructure,N/A,Cost; SLA compliance; response time,Intelligent partitioning; dynamic allocation; resource optimization; mutation actions; rank-based distribution of microservices,Scheduling; resource management; container orchestration; workload distribution,Docker; Docker Swarm; Kubernetes; MiCADO; CloudSim; DeathStarBench; StressCloud,Performance; response time; availability; resource utilization; network latency; SLA compliance; cost,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DECA: A Dynamic Energy Cost and Carbon Emission-Efficient Application Placement Method for Edge Clouds,10.1109/ACCESS.2021.3075973,N/A,N/A,N/A,containerized microservices,CPU of compute nodes; Network devices (switches and routers),Communication between components; container placement to reduce network traffic & energy consumption,Component Level; Network Level,Model-based estimation,Monitoring,Simulation in CloudSim,Simulator (CloudSim),N/A,N/A,Per host/node,Energy cost; carbon emissions,Infrastructure,N/A,Cost,dynamic application placement; re-optimization using migration,Scheduling,CloudSim,cost; carbon emission,Balances,N/A,Multi-objective optimization,N/A,N/A,N/A,N/A
