"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Designing a Smart City Internet of Things Platform with Microservice Architecture","A. Krylovskiy; M. Jahn; E. Patti","Fraunhofer FIT, Sankt Augustin, Germany; Fraunhofer FIT, Sankt Augustin, Germany; Dept. of Control and Computer Engineering, Italy",2015 3rd International Conference on Future Internet of Things and Cloud,"26 Oct 2015","2015","","","25","30","The Internet of Things (IoT) is being adopted in different application domains and is recognized as one of the key enablers of the Smart City vision. Despite the standardization efforts and wide adoption of Web standards and cloud computing technologies, however, building large-scale Smart City IoT platforms in practice remains challenging. The dynamically changing IoT environment requires these systems to be able to scale and evolve over time adopting new technologies and requirements. In response to the similar challenges in building large-scale distributed applications and platforms on the Web, micro service architecture style has emerged and gained a lot of popularity in the industry in recent years. In this work, we share our early experience of applying the micro service architecture style to design a Smart City IoT platform. Our experience suggests significant benefits provided by this architectural style compared to the more generic Service-Oriented Architecture (SOA) approaches, as well as highlights some of the challenges it introduces.","","978-1-4673-8103-1","10.1109/FiCloud.2015.55","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7300793","","Smart cities;Computer architecture;Data models;Standards;Architecture;Interoperability","","161","","27","IEEE","26 Oct 2015","","","IEEE","IEEE Conferences"
"Horizontal and Vertical Scaling of Container-Based Applications Using Reinforcement Learning","F. Rossi; M. Nardelli; V. Cardellini","Dept. of Computer Science and Civil Engineering, University of Rome Tor Vergata, Italy; Dept. of Computer Science and Civil Engineering, University of Rome Tor Vergata, Italy; Dept. of Computer Science and Civil Engineering, University of Rome Tor Vergata, Italy",2019 IEEE 12th International Conference on Cloud Computing (CLOUD),"29 Aug 2019","2019","","","329","338","Software containers are changing the way distributed applications are executed and managed on cloud computing resources. Interestingly, containers offer the possibility of handling workload fluctuations by exploiting both horizontal and vertical elasticity ""on the fly"". However, most of the existing control policies consider horizontal and vertical scaling as two disjointed control knobs. In this paper, we propose Reinforcement Learning (RL) solutions for controlling the horizontal and vertical elasticity of container-based applications with the goal to increase the flexibility to cope with varying workloads. Although RL represents an interesting approach, it may suffer from a possible long learning phase, especially when nothing about the system is known a-priori. To speed up the learning process and identify better adaptation policies, we propose RL solutions that exploit different degrees of knowledge about the system dynamics (i.e., Q-learning, Dyna-Q, and Model-based). We integrate the proposed policies in Elastic Docker Swarm, our extension that introduces self-adaptation capabilities in the container orchestration tool Docker Swarm. We demonstrate the effectiveness and flexibility of model-based RL policies through simulations and prototype-based experiments.","2159-6190","978-1-7281-2705-7","10.1109/CLOUD.2019.00061","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8814555","Reinforcement Learning, Elasticity, Self adaptation, Container, Docker","Elasticity;Containers;Adaptation models;Cloud computing;Computational modeling;System dynamics;Tools","","99","","24","IEEE","29 Aug 2019","","","IEEE","IEEE Conferences"
"City of things: An integrated and multi-technology testbed for IoT smart city experiments","S. Latre; P. Leroux; T. Coenen; B. Braem; P. Ballon; P. Demeester","Department of Mathematics and Computer Science, University of Antwerp - iMinds, Belgium; Department of Information Technology, Ghent University - iMinds, Belgium; Free University of Brussels - iMinds, Belgium; Department of Mathematics and Computer Science, University of Antwerp - iMinds, Belgium; Free University of Brussels - iMinds, Belgium; Department of Information Technology, Ghent University - iMinds, Belgium",2016 IEEE International Smart Cities Conference (ISC2),"3 Oct 2016","2016","","","1","8","While smart cities have the potential to monitor and control the city in real-time through sensors and actuators, there is still an important road ahead to evolve from isolated smart city experiments to real large-scale deployments. Important research questions remain on how and which wireless technologies should be setup for connecting the city, how the data should be analysed and how the acceptance by users of applications can be assessed. In this paper we present the City of Things testbed, which is a smart city testbed located in the city of Antwerp, Belgium to address these questions. It allows the setup and validation of new smart city experiments both at a technology and user level. City of Things consists of a multi-wireless technology network infrastructure, the capacity to easily perform data experiments on top and a living lab approach to validate the experiments. In comparison to other smart city testbeds, City of Things consists of an integrated approach, allowing experimentation on three different layers: networks, data and living lab while supporting a wide range of wireless technologies. We give an overview of the City of Things architecture, explain how researchers can perform smart city experiments and illustrate this by a case study on air quality.","","978-1-5090-1846-8","10.1109/ISC2.2016.7580875","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7580875","","Smart cities;Wireless sensor networks;Logic gates;Wireless communication;Intelligent sensors","","88","","21","IEEE","3 Oct 2016","","","IEEE","IEEE Conferences"
"DeepRecSys: A System for Optimizing End-To-End At-Scale Neural Recommendation Inference","U. Gupta; S. Hsia; V. Saraph; X. Wang; B. Reagen; G. -Y. Wei; H. -H. S. Lee; D. Brooks; C. -J. Wu",Harvard University; Harvard University; Facebook Inc.; Facebook Inc.; Facebook Inc.; Harvard University; Facebook Inc.; Harvard University; Facebook Inc.,2020 ACM/IEEE 47th Annual International Symposium on Computer Architecture (ISCA),"13 Jul 2020","2020","","","982","995","Neural personalized recommendation is the cornerstone of a wide collection of cloud services and products, constituting significant compute demand of cloud infrastructure. Thus, improving the execution efficiency of recommendation directly translates into infrastructure capacity saving. In this paper, we propose DeepRecSched, a recommendation inference scheduler that maximizes latency-bounded throughput by taking into account characteristics of inference query size and arrival patterns, model architectures, and underlying hardware systems. By carefully optimizing task versus data-level parallelism, DeepRecSched improves system throughput on server class CPUs by $2 \times$ across eight industry-representative models. Next, we deploy and evaluate this optimization in an at-scale production datacenter which reduces end-to-end tail latency across a wide variety of recommendation models by 30%. Finally, DeepRecSched demonstrates the role and impact of specialized AI hardware in optimizing system level performance (QPS) and power efficiency (QPS/watt) of recommendation inference.In order to enable the design space exploration of customized recommendation systems shown in this paper, we design and validate an end-to-end modeling infrastructure, DeepRecInfra. DeepRecInfra enables studies over a variety of recommendation use cases, taking into account at-scale effects, such as query arrival patterns and recommendation query sizes, observed from a production datacenter, as well as industry-representative models and tail latency targets.","","978-1-7281-4661-4","10.1109/ISCA45697.2020.00084","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9138960","","","","87","","73","IEEE","13 Jul 2020","","","IEEE","IEEE Conferences"
"TeaStore: A Micro-Service Reference Application for Benchmarking, Modeling and Resource Management Research","J. von Kistowski; S. Eismann; N. Schmitt; A. Bauer; J. Grohmann; S. Kounev",University of Würzburg; University of Würzburg; University of Würzburg; University of Würzburg; University of Würzburg; University of Würzburg,"2018 IEEE 26th International Symposium on Modeling, Analysis, and Simulation of Computer and Telecommunication Systems (MASCOTS)","8 Nov 2018","2018","","","223","236","Modern distributed applications offer complex performance behavior and many degrees of freedom regarding deployment and configuration. Researchers employ various methods of analysis, modeling, and management that leverage these degrees of freedom to predict or improve non-functional properties of the software under consideration. In order to demonstrate and evaluate their applicability in the real world, methods resulting from such research areas require test and reference applications that offer a range of different behaviors, as well as the necessary degrees of freedom. Existing production software is often inaccessible for researchers or closed off to instrumentation. Existing testing and benchmarking frameworks, on the other hand, are either designed for specific testing scenarios, or they do not offer the necessary degrees of freedom. Further, most test applications are difficult to deploy and run, or are outdated. In this paper, we introduce the TeaStore, a state-of-the-art micro-service-based test and reference application. TeaStore offers services with different performance characteristics and many degrees of freedom regarding deployment and configuration to be used as a benchmarking framework for researchers. The TeaStore allows evaluating performance modeling and resource management techniques; it also offers instrumented variants to enable extensive run-time analysis. We demonstrate TeaStore's use in three contexts: performance modeling, cloud resource management, and energy efficiency analysis. Our experiments show that TeaStore can be used for evaluating novel approaches in these contexts and also motivates further research in the areas of performance modeling and resource management.","2375-0227","978-1-5386-6886-3","10.1109/MASCOTS.2018.00030","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8526888","Microservice;Benchmarking;Performance;Power;Energy Efficiency;Models;Auto Scaler;Container;Cloud","Benchmark testing;Software;Analytical models;Resource management;Predictive models;Instruments","","72","","61","IEEE","8 Nov 2018","","","IEEE","IEEE Conferences"
"Planaria: Dynamic Architecture Fission for Spatial Multi-Tenant Acceleration of Deep Neural Networks","S. Ghodrati; B. H. Ahn; J. Kyung Kim; S. Kinzer; B. R. Yatham; N. Alla; H. Sharma; M. Alian; E. Ebrahimi; N. S. Kim; C. Young; H. Esmaeilzadeh","Alternative Computing Technologies (ACT) Lab, University of California, San Diego; Alternative Computing Technologies (ACT) Lab, University of California, San Diego; Alternative Computing Technologies (ACT) Lab, University of California, San Diego; Alternative Computing Technologies (ACT) Lab, University of California, San Diego; Alternative Computing Technologies (ACT) Lab, University of California, San Diego; Alternative Computing Technologies (ACT) Lab, University of California, San Diego; Bigstream Inc.; Kansas University; NVIDIA Research; University of Illinois Urbana-Champaign; Google Inc.; Alternative Computing Technologies (ACT) Lab, University of California, San Diego",2020 53rd Annual IEEE/ACM International Symposium on Microarchitecture (MICRO),"11 Nov 2020","2020","","","681","697","Deep Neural Networks (DNNs) have reinvigorated real-world applications that rely on learning patterns of data and are permeating into different industries and markets. Cloud infrastructure and accelerators that offer INFerence-as-a-Service (INFaaS) have become the enabler of this rather quick and invasive shift in the industry. To that end, mostly accelerator-based INFaaS (Google's TPU [1], NVIDIA T4 [2], Microsoft Brainwave [3], etc.) has become the backbone of many real-life applications. However, as the demand for such services grows, merely scaling-out the number of accelerators is not economically cost-effective. Although multi-tenancy has propelled datacenter scalability, it has not been a primary factor in designing DNN accelerators due to the arms race for higher speed and efficiency. This paper sets out to explore this timely requirement of multi-tenancy through a new dimension: dynamic architecture fission. To that end, we define Planaria1 that can dynamically fission (break) into multiple smaller yet full-fledged DNN engines at runtime. This microarchitectural capability enables spatially co-locating multiple DNN inference services on the same hardware, offering simultaneous multi-tenant DNN acceleration. To realize this dynamic reconfigurability, we first devise breakable omni-directional systolic arrays for DNN acceleration that allows omni-directional flow of data. Second, it uses this capability and a unique organization of on-chip memory, interconnection, and compute resources to enable fission in systolic array based DNN accelerators. Architecture fission and its associated flexibility enables an extra degree of freedom for task scheduling, that even allows breaking the accelerator with regard to the server load, DNN topology, and task priority. As such, it can simultaneously co-locate DNNs to enhance utilization, throughput, QoS, and fairness. We compare the proposed design to PREMA [4], a recent effort that offers multi-tenancy by time-multiplexing the DNN accelerator across multiple tasks. We use the same frequency, the same amount of compute and memory resources for both accelerators. The results show significant benefits with (soft, medium, hard) QoS requirements, in throughput (7.4×, 7.2×, 12.2×), SLA satisfaction rate (45%, 15%, 16%), and fairness (2.1×, 2.3×, 1.9×).","","978-1-7281-7383-2","10.1109/MICRO50266.2020.00062","Google; Qualcomm; Microsoft; Xilinx; National Science Foundation; Air Force Office of Scientific Research; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9251939","Accelerators;Deep Neural Networks;DNN;DNN Acceleration;Multi-Tenancy;Spatial DNN Task Co-Location;Multi-Tenant DNN Acceleration;Dynamic Architecture Fission;Omni-Directional Systolic Arrays","Industries;Microarchitecture;Computer architecture;Quality of service;Throughput;Acceleration;Task analysis","","49","","124","IEEE","11 Nov 2020","","","IEEE","IEEE Conferences"
"Intelligent O-RAN for Beyond 5G and 6G Wireless Networks","S. Niknam; A. Roy; H. S. Dhillon; S. Singh; R. Banerji; J. H. Reed; N. Saxena; S. Yoon","Wireless@VT, Virginia Tech, Blacksburg, VA; MediaTek, San Jose, CA; Wireless@VT, Virginia Tech, Blacksburg, VA; Samsung R&D India-Bangalore; Samsung R&D India-Bangalore; Wireless@VT, Virginia Tech, Blacksburg, VA; San Jose State University, CA; Samsung Electronics, Suwon, Korea",2022 IEEE Globecom Workshops (GC Wkshps),"12 Jan 2023","2022","","","215","220","Building on the principles of openness and intelligence, there has been a concerted global effort from the operators towards enhancing the radio access network (RAN) architecture. The objective is to build an operator-defined RAN architecture (and associated interfaces) on open hardware that provides intelligent radio control for beyond fifth generation (5G) as well as future sixth generation (6G) wireless networks. Specifically, the open-radio access network (O-RAN) alliance has been formed by merging xRAN forum and C-RAN alliance to formally define the requirements that would help achieve this objective. Owing to the importance of O-RAN in the current wireless landscape, this article provides an introduction to the concepts, principles, and requirements of the Open RAN as specified by the O-RAN alliance. In order to illustrate the role of intelligence in O-RAN, we propose an intelligent radio resource management scheme to handle traffic congestion and demonstrate its efficacy on a real-world dataset obtained from a large operator. A high-level architecture of this deployment scenario that is compliant with the O-RAN requirements is also discussed. The article concludes with key technical challenges and open problems for future research and development.","","978-1-6654-5975-4","10.1109/GCWkshps56602.2022.10008676","Oak Ridge National Laboratory; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10008676","Open RAN;6G;beyond 5G;radio resource management;machine learning;intelligent controller","6G mobile communication;5G mobile communication;Wireless networks;Architecture;Merging;Resource management;Traffic congestion","","46","","16","IEEE","12 Jan 2023","","","IEEE","IEEE Conferences"
"Fogify: A Fog Computing Emulation Framework","M. Symeonides; Z. Georgiou; D. Trihinas; G. Pallis; M. D. Dikaiakos","Department of Computer Science, University of Cyprus; Department of Computer Science, University of Cyprus; Department of Computer Science, University of Nicosia; Department of Computer Science, University of Cyprus; Department of Computer Science, University of Cyprus",2020 IEEE/ACM Symposium on Edge Computing (SEC),"22 Feb 2021","2020","","","42","54","Fog Computing is emerging as the dominating paradigm bridging the compute and connectivity gap between sensing devices and latency-sensitive services. However, experimenting and evaluating IoT services is a daunting task involving the manual configuration and deployment of a mixture of geodistributed physical and virtual infrastructure with different resource and network requirements. This results in sub-optimal, costly and error-prone deployments due to numerous unexpected overheads not initially envisioned in the design phase and underwhelming testing conditions not resembling the end environment. In this paper, we introduce Fogify, an emulator easing the modeling, deployment and large-scale experimentation of fog and edge testbeds. Fogify provides a toolset to: (i) model complex fog topologies comprised of heterogeneous resources, network capabilities and QoS criteria; (ii) deploy the modelled configuration and services using popular containerized descriptions to a cloud or local environment; (iii) experiment, measure and evaluate the deployment by injecting faults and adapting the configuration at runtime to test different “what-if” scenarios that reveal the limitations of a service before introduced to the public. In the evaluation, proof-of-concept IoT services with real-world workloads are introduced to show the wide applicability and benefits of rapid prototyping via Fogify.","","978-1-7281-5943-0","10.1109/SEC50012.2020.00011","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9355701","Fog Computing;Internet of Things","Runtime;Network topology;Emulation;Rapid prototyping;Topology;Internet of Things;Edge computing","","43","","43","IEEE","22 Feb 2021","","","IEEE","IEEE Conferences"
"HyScale: Hybrid and Network Scaling of Dockerized Microservices in Cloud Data Centres","A. Kwan; J. Wong; H. -A. Jacobsen; V. Muthusamy","University of Toronto, Toronto, ON, Canada; University of Toronto, Toronto, ON, Canada; University of Toronto, Toronto, ON, Canada; Thomas J. Watson Research Center, Yorktown Heights, NY, USA",2019 IEEE 39th International Conference on Distributed Computing Systems (ICDCS),"31 Oct 2019","2019","","","80","90","When designing modern software, care must be taken to allow for applications to scale based on the demands of its users while still accommodating flexibility in development. Recently, microservices architectures have garnered the attention of many organizations-providing higher levels of scalability, availability, and fault isolation. Many organizations choose to host their microservices architectures in cloud data centres to offset costs. Incidentally, data centres become over-encumbered during peak usage hours and underutilized during off-peak hours. Traditional microservice scaling methods perform either horizontal or vertical scaling exclusively. When used in combination, however, these methods offer complementary benefits and compensate for each other's deficiencies. To leverage the high availability of horizontal scaling and the fine-grained resource control of vertical scaling, we developed two novel hybrid autoscaling algorithms and a dedicated network scaling algorithm and benchmarked them against Google's popular Kubernetes horizontal autoscaling algorithm. Results indicated up to 1.49x speedups in response times for our hybrid algorithms, and 1.69x speedups for our network algorithm under high-burst network loads.","2575-8411","978-1-7281-2519-0","10.1109/ICDCS.2019.00017","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8885318","Docker, microservices, autoscaling, cloud","Containers;Data centers;Resource management;Cloud computing;Computer architecture;Hardware;Measurement","","38","","38","IEEE","31 Oct 2019","","","IEEE","IEEE Conferences"
"Edge MLOps: An Automation Framework for AIoT Applications","E. Raj; D. Buffoni; M. Westerlund; K. Ahola","TietoEVRY, Helsinki, Finland; TietoEVRY, Stockholm, Sweden; Arcada University of Applied Sciences, Helsinki, Finland; VTT, Espoo, Finland",2021 IEEE International Conference on Cloud Engineering (IC2E),"22 Nov 2021","2021","","","191","200","Artificial Intelligence of Things (AIoT) is the combination of artificial intelligence (AI) technologies with the Internet of Things (IoT) infrastructure to achieve more efficient IoT operations and decision making. Edge computing is emerging to enable AIoT applications. In this paper, we develop an Edge MLOps framework for automating Machine Learning at the edge, enabling continuous model training, deployment, delivery and monitoring. To achieve this, we synergize cloud and edge environments. We experimentally validate our framework on a forecasting air quality situation. During validation, the framework showed stability and automatically retrained, integrated, and deployed models for specific environments when their performance deteriorated under a certain threshold.","","978-1-6654-4970-0","10.1109/IC2E52221.2021.00034","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9610376","Edge Computing;Machine Learning;IoT;5G Networks;AI;Automation;Digital Transformation;MLOps","Training;Cloud computing;Automation;Atmospheric modeling;Computational modeling;Pipelines;Collaborative work","","33","","47","IEEE","22 Nov 2021","","","IEEE","IEEE Conferences"
