"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"On Multi-Access Edge Computing: A Survey of the Emerging 5G Network Edge Cloud Architecture and Orchestration","T. Taleb; K. Samdanis; B. Mada; H. Flinck; S. Dutta; D. Sabella","Aalto University, Espoo, Finland; Huawei European Research Center, Munich, Germany; Aalto University, Espoo, Finland; Nokia Bell Labs, Espoo, Finland; Aalto University, Espoo, Finland; Intel, Munich, Germany",IEEE Communications Surveys & Tutorials,"21 Aug 2017","2017","19","3","1657","1681","Multi-access edge computing (MEC) is an emerging ecosystem, which aims at converging telecommunication and IT services, providing a cloud computing platform at the edge of the radio access network. MEC offers storage and computational resources at the edge, reducing latency for mobile end users and utilizing more efficiently the mobile backhaul and core networks. This paper introduces a survey on MEC and focuses on the fundamental key enabling technologies. It elaborates MEC orchestration considering both individual services and a network of MEC platforms supporting mobility, bringing light into the different orchestration deployment options. In addition, this paper analyzes the MEC reference architecture and main deployment scenarios, which offer multitenancy support for application developers, content providers, and third parties. Finally, this paper overviews the current standardization activities and elaborates further on open research challenges.","1553-877X","","10.1109/COMST.2017.2705720","TAKE 5 Project; Finnish Funding Agency for Technology and Innovation; Finnish Ministry of Employment and the Economy; European Union’s Horizon 2020 Research and Innovation Programme through the EU/JP 5G!Pagoda Project(grant numbers:723172); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7931566","MEC;Multi-Access Edge Computing;Mobile Edge Computing;5G Mobile Communications;Edge Computing;Application Virtualization;Network Function Virtualization;Software Defined Networking;Network Softwarization","Cloud computing;Edge computing;Mobile computing;Computer architecture;5G mobile communication","","1360","","209","IEEE","18 May 2017","","","IEEE","IEEE Journals"
"Convergence of Edge Computing and Deep Learning: A Comprehensive Survey","X. Wang; Y. Han; V. C. M. Leung; D. Niyato; X. Yan; X. Chen","Tianjin Key Laboratory of Advanced Networking, College of Intelligence and Computing, Tianjin University, Tianjin, China; Tianjin Key Laboratory of Advanced Networking, College of Intelligence and Computing, Tianjin University, Tianjin, China; College of Computer Science and Software Engineering, Shenzhen University, Shenzhen, China; School of Computer Science and Engineering, Nanyang Technological University, Singapore; 2012 Lab, Huawei Technologies, Shenzhen, China; School of Data and Computer Science, Sun Yat-sen University, Guangzhou, China",IEEE Communications Surveys & Tutorials,"27 May 2020","2020","22","2","869","904","Ubiquitous sensors and smart devices from factories and communities are generating massive amounts of data, and ever-increasing computing power is driving the core of computation and services from the cloud to the edge of the network. As an important enabler broadly changing people's lives, from face recognition to ambitious smart factories and cities, developments of artificial intelligence (especially deep learning, DL) based applications and services are thriving. However, due to efficiency and latency issues, the current cloud computing service architecture hinders the vision of “providing artificial intelligence for every person and every organization at everywhere”. Thus, unleashing DL services using resources at the network edge near the data sources has emerged as a desirable solution. Therefore, edge intelligence, aiming to facilitate the deployment of DL services by edge computing, has received significant attention. In addition, DL, as the representative technique of artificial intelligence, can be integrated into edge computing frameworks to build intelligent edge for dynamic, adaptive edge maintenance and management. With regard to mutually beneficial edge intelligence and intelligent edge, this paper introduces and discusses: 1) the application scenarios of both; 2) the practical implementation methods and enabling technologies, namely DL training and inference in the customized edge computing framework; 3) challenges and future trends of more pervasive and fine-grained intelligence. We believe that by consolidating information scattered across the communication, networking, and DL areas, this survey can help readers to understand the connections between enabling technologies while promoting further discussions on the fusion of edge intelligence and intelligent edge, i.e., Edge DL.","1553-877X","","10.1109/COMST.2020.2970550","National Basic Research Program of China (973 Program)(grant numbers:2019YFB2101901,2018YFC0809803); National Science Foundation of China(grant numbers:61702364,61972432,U1711265); Program for Guangdong Introducing Innovative and Enterpreneurial Teams(grant numbers:2017ZT07X355); Chinese National Engineering Laboratory for Big Data System Computing Technology; Canadian Natural Sciences and Engineering Research Council; Singapore NRF National Satellite of Excellence, Design Science and Technology for Secure Critical Infrastructure National Satellite of Excellence(grant numbers:DeST-SCI2019-0007); A*STAR-NTU-SUTD Joint Research Grant Call on Artificial Intelligence for the Future of Manufacturing(grant numbers:RGANS1906); WASP/NTU(grant numbers:M4082187 (4080)); Singapore MOE Tier 1(grant numbers:2017-T1-002-007 RG122/17); MOE Tier 2(grant numbers:MOE2014-T2-2-015 ARC4/15); Singapore(grant numbers:NRF2015-NRF-ISF001-2277); Singapore Energy Market Authority Energy Resilience(grant numbers:NRF2017EWT-EP003-041); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8976180","Edge computing;deep learning;wireless communication;computation offloading;artificial intelligence","Edge computing;Cloud computing;Training;Computational modeling;Reliability;Wireless communication;Internet of Things","","909","","134","IEEE","30 Jan 2020","","","IEEE","IEEE Journals"
"6G Wireless Systems: Vision, Requirements, Challenges, Insights, and Opportunities","H. Tataria; M. Shafi; A. F. Molisch; M. Dohler; H. Sjöland; F. Tufvesson","Department of Electrical and Information Technology, Lund University, Lund, Sweden; Spark New Zealand, Wellington, New Zealand; Ming Hsieh Department of Electrical and Computer Engineering, University of Southern California, Los Angeles, CA, USA; Center for Telecoms Research, King’s College London, London, U.K.; Department of Electrical and Information Technology, Lund University, Lund, Sweden; Department of Electrical and Information Technology, Lund University, Lund, Sweden",Proceedings of the IEEE,"18 Jun 2021","2021","109","7","1166","1199","Mobile communications have been undergoing a generational change every ten years or so. However, the time difference between the so-called “G’s” is also decreasing. While fifth-generation (5G) systems are becoming a commercial reality, there is already significant interest in systems beyond 5G, which we refer to as the sixth generation (6G) of wireless systems. In contrast to the already published papers on the topic, we take a top-down approach to 6G. More precisely, we present a holistic discussion of 6G systems beginning with lifestyle and societal changes driving the need for next-generation networks. This is followed by a discussion into the technical requirements needed to enable 6G applications, based on which we dissect key challenges and possibilities for practically realizable system solutions across all layers of the Open Systems Interconnection stack (i.e., from applications to the physical layer). Since many of the 6G applications will need access to an order-of-magnitude more spectrum, utilization of frequencies between 100 GHz and 1 THz becomes of paramount importance. As such, the 6G ecosystem will feature a diverse range of frequency bands, ranging from below 6 GHz up to 1 THz. We comprehensively characterize the limitations that must be overcome to realize working systems in these bands and provide a unique perspective on the physical and higher layer challenges relating to the design of next-generation core networks, new modulation and coding methods, novel multiple-access techniques, antenna arrays, wave propagation, radio frequency transceiver design, and real-time signal processing. We rigorously discuss the fundamental changes required in the core networks of the future, such as the redesign or significant reduction of the transport architecture that serves as a major source of latency for time-sensitive applications. This is in sharp contrast to the present hierarchical network architectures that are not suitable to realize many of the anticipated 6G services. While evaluating the strengths and weaknesses of key candidate 6G technologies, we differentiate what may be practically achievable over the next decade, relative to what is possible in theory. Keeping this in mind, we present concrete research challenges for each of the discussed system aspects, providing inspiration for what follows.","1558-2256","","10.1109/JPROC.2021.3061701","Ericsson AB, Sweden; ELLIIT: The Linköping-Lund Excellence Center on IT and Mobile Communication; National Science Foundation (NSF); National Institute of Standards and Technology (NIST); Samsung Research America; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9390169","Beamforming;next-generation core network;physical layer (PHY);radio frequency (RF) transceivers;signal processing;sixth-generation (6G);terahertz (THz);ultramassive multiple-input multiple-output (MIMO);waveforms","Array signal processing;Transceivers;Signal processing;6G mobile communication;Massive MIMO;Radio frequency;Physical layer;Next generation networking","","840","","194","CCBY","30 Mar 2021","","","IEEE","IEEE Journals"
"Network Slicing and Softwarization: A Survey on Principles, Enabling Technologies, and Solutions","I. Afolabi; T. Taleb; K. Samdanis; A. Ksentini; H. Flinck","Department of Communications and Networking, Aalto University, Espoo, Finland; Department of Computer and Information Security, Sejong University, Seoul, South Korea; Huawei European Research Center, Munich, Germany; Department of Communications System, Eurecom, Nice, France; Nokia Bell Labs, Espoo, Finland",IEEE Communications Surveys & Tutorials,"21 Aug 2018","2018","20","3","2429","2453","Network slicing has been identified as the backbone of the rapidly evolving 5G technology. However, as its consolidation and standardization progress, there are no literatures that comprehensively discuss its key principles, enablers, and research challenges. This paper elaborates network slicing from an end-to-end perspective detailing its historical heritage, principal concepts, enabling technologies and solutions as well as the current standardization efforts. In particular, it overviews the diverse use cases and network requirements of network slicing, the pre-slicing era, considering RAN sharing as well as the end-to-end orchestration and management, encompassing the radio access, transport network and the core network. This paper also provides details of specific slicing solutions for each part of the 5G system. Finally, this paper identifies a number of open research challenges and provides recommendations toward potential solutions.","1553-877X","","10.1109/COMST.2018.2815638","Academy of Finland(grant numbers:311654); European Union’s Horizon 2020 Research and Innovation Program through the 5G!Pagoda Project(grant numbers:723172); Global5G.org Project(grant numbers:761816); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8320765","Network slice;5G;network softwarization;orchestration;network management;NFV;SDN;cloud;mobile network;MANO;open source","5G mobile communication;Network slicing;Business;Cloud computing;Industries","","808","","169","IEEE","21 Mar 2018","","","IEEE","IEEE Journals"
"On the Road to 6G: Visions, Requirements, Key Technologies, and Testbeds","C. -X. Wang; X. You; X. Gao; X. Zhu; Z. Li; C. Zhang; H. Wang; Y. Huang; Y. Chen; H. Haas; J. S. Thompson; E. G. Larsson; M. D. Renzo; W. Tong; P. Zhu; X. Shen; H. V. Poor; L. Hanzo","National Mobile Communications Research Laboratory, School of Information Science and Engineering, Southeast University, Nanjing, China; National Mobile Communications Research Laboratory, School of Information Science and Engineering, Southeast University, Nanjing, China; National Mobile Communications Research Laboratory, School of Information Science and Engineering, Southeast University, Nanjing, China; National Mobile Communications Research Laboratory, School of Information Science and Engineering, Southeast University, Nanjing, China; National Mobile Communications Research Laboratory, School of Information Science and Engineering, Southeast University, Nanjing, China; National Mobile Communications Research Laboratory, School of Information Science and Engineering, Southeast University, Nanjing, China; Pervasive Communication Research Center, Purple Mountain Laboratories, Nanjing, China; National Mobile Communications Research Laboratory, School of Information Science and Engineering, Southeast University, Nanjing, China; Department of Engineering, University of Durham, Durham, U.K.; Department of Electronic and Electrical Engineering, LiFi Research and Development Center, University of Strathclyde, Glasgow, U.K.; Institute for Digital Communications, School of Engineering, University of Edinburgh, Edinburgh, U.K.; Department of Electrical Engineering (ISY), Linköping University, Linköping, Sweden; Université Paris-Saclay, CNRS, CentraleSupélec, Laboratoire des Signaux et Systèmes, Gif-sur-Yvette, France; Wireless Advanced System and Competency Centre, HUAWEI Technologies Canada Company Ltd., Ottawa, ON, Canada; Wireless Technology Lab, HUAWEI Technologies Canada Company Ltd., Ottawa, Canada; Department of Electrical and Computer Engineering, University of Waterloo, Waterloo, Canada; Department of Electrical and Computer Engineering, Princeton University, Princeton, NJ, USA; School of Electronics and Computer Science, University of Southampton, Southampton, U.K.",IEEE Communications Surveys & Tutorials,"22 May 2023","2023","25","2","905","974","Fifth generation (5G) mobile communication systems have entered the stage of commercial deployment, providing users with new services, improved user experiences as well as a host of novel opportunities to various industries. However, 5G still faces many challenges. To address these challenges, international industrial, academic, and standards organizations have commenced research on sixth generation (6G) wireless communication systems. A series of white papers and survey papers have been published, which aim to define 6G in terms of requirements, application scenarios, key technologies, etc. Although ITU-R has been working on the 6G vision and it is expected to reach a consensus on what 6G will be by mid-2023, the related global discussions are still wide open and the existing literature has identified numerous open issues. This paper first provides a comprehensive portrayal of the 6G vision, technical requirements, and application scenarios, covering the current common understanding of 6G. Then, a critical appraisal of the 6G network architecture and key technologies is presented. Furthermore, existing testbeds and advanced 6G verification platforms are detailed for the first time. In addition, future research directions and open challenges are identified to stimulate the on-going global debate. Finally, lessons learned to date concerning 6G networks are discussed.","1553-877X","","10.1109/COMST.2023.3249835","National Key Research and Development Program of China(grant numbers:2018YFB1801101); National Natural Science Foundation of China(grant numbers:61960206006,62122020); Key Technologies Research and Development Program of Jiangsu (Prospective and Key Technologies for Industry)(grant numbers:BE2022067,BE2022067-1,BE2022067-5); EU H2020 RISE TESTBED2 Project(grant numbers:872172); EU H2020 ARIADNE Project(grant numbers:871464); EU H2020 RISE-6G Project(grant numbers:101017011); U.S. National Science Foundation(grant numbers:CCF-1908308,CNS-2128448); Engineering and Physical Sciences Research Council Project(grant numbers:EP/W016605/1,EP/X01228X/1); European Research Council’s Advanced Fellow Grant QuantCom(grant numbers:789028); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10054381","6G vision;6G key performance indicators (KPIs);6G application scenarios;6G network architecture;6G key technologies;6G testbeds;6G challenges","6G mobile communication;5G mobile communication;Wireless communication;Industries;Tutorials;Millimeter wave communication;Research and development","","659","","662","IEEE","27 Feb 2023","","","IEEE","IEEE Journals"
"Communications in the 6G Era","H. Viswanathan; P. E. Mogensen","Nokia Bell Labs, Murray Hill, USA; Nokia Bell Labs, Aalborg, Denmark",IEEE Access,"30 Mar 2020","2020","8","","57063","57074","The focus of wireless research is increasingly shifting toward 6G as 5G deployments get underway. At this juncture, it is essential to establish a vision of future communications to provide guidance for that research. In this paper, we attempt to paint a broad picture of communication needs and technologies in the timeframe of 6G. The future of connectivity is in the creation of digital twin worlds that are a true representation of the physical and biological worlds at every spatial and time instant, unifying our experience across these physical, biological and digital worlds. New themes are likely to emerge that will shape 6G system requirements and technologies, such as: (i) new man-machine interfaces created by a collection of multiple local devices acting in unison; (ii) ubiquitous universal computing distributed among multiple local devices and the cloud; (iii) multi-sensory data fusion to create multi-verse maps and new mixed-reality experiences; and (iv) precision sensing and actuation to control the physical world. With rapid advances in artificial intelligence, it has the potential to become the foundation for the 6G air interface and network, making data, compute and energy the new resources to be exploited for achieving superior performance. In addition, in this paper we discuss the other major technology transformations that are likely to define 6G: (i) cognitive spectrum sharing methods and new spectrum bands; (ii) the integration of localization and sensing capabilities into the system definition, (iii) the achievement of extreme performance requirements on latency and reliability; (iv) new network architecture paradigms involving sub-networks and RAN-Core convergence; and (v) new security and privacy schemes.","2169-3536","","10.1109/ACCESS.2020.2981745","Nokia; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9040431","6G;AI/ML driven air interface;network localization and sensing;cognitive spectrum sharing;sub-terahertz;RAN-Core convergence;subnetworks;security;privacy;network as a platform","6G mobile communication;5G mobile communication;Robot sensing systems;Biology;Digital twin;User interfaces","","528","","41","CCBY","18 Mar 2020","","","IEEE","IEEE Journals"
"Integrated Blockchain and Edge Computing Systems: A Survey, Some Research Issues and Challenges","R. Yang; F. R. Yu; P. Si; Z. Yang; Y. Zhang","Faculty of Information Technology, Beijing University of Technology, Beijing, China; Department of Systems and Computer Engineering, Carleton University, Ottawa, ON, Canada; Faculty of Information Technology, Beijing University of Technology, Beijing, China; Faculty of Information Technology, Beijing University of Technology, Beijing, China; Faculty of Information Technology, Beijing University of Technology, Beijing, China",IEEE Communications Surveys & Tutorials,"31 May 2019","2019","21","2","1508","1532","Blockchain, as the underlying technology of crypto-currencies, has attracted significant attention. It has been adopted in numerous applications, such as smart grid and Internet-of-Things. However, there is a significant scalability barrier for blockchain, which limits its ability to support services with frequent transactions. On the other side, edge computing is introduced to extend the cloud resources and services to be distributed at the edge of the network, but currently faces challenges in its decentralized management and security. The integration of blockchain and edge computing into one system can enable reliable access and control of the network, storage, and computation distributed at the edges, hence providing a large scale of network servers, data storage, and validity computation near the end in a secure manner. Despite the prospect of integrated blockchain and edge computing systems, its scalability enhancement, self organization, functions integration, resource management, and new security issues remain to be addressed before widespread deployment. In this survey, we investigate some of the work that has been done to enable the integrated blockchain and edge computing system and discuss the research challenges. We identify several vital aspects of the integration of blockchain and edge computing: motivations, frameworks, enabling functionalities, and challenges. Finally, some broader perspectives are explored.","1553-877X","","10.1109/COMST.2019.2894727","Beijing University of Technology; Beijing Post-Doctoral Fund; Support Project of High-Level Teachers in Beijing Municipal Universities in the Period of 13th Five-Year Plan(grant numbers:067175315000); National Natural Science Foundation of China(grant numbers:61671029,61571021); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8624417","Blockchain;edge computing;network;storage;computation","Blockchain;Edge computing;Bitcoin;Peer-to-peer computing;Scalability;Cloud computing","","513","","132","IEEE","23 Jan 2019","","","IEEE","IEEE Journals"
"Edge Computing in Industrial Internet of Things: Architecture, Advances and Challenges","T. Qiu; J. Chi; X. Zhou; Z. Ning; M. Atiquzzaman; D. O. Wu","School of Computer Science and Technology, College of Intelligence and Computing, Tianjin University, Tianjin, China; School of Computer Science and Technology, College of Intelligence and Computing, Tianjin University, Tianjin, China; School of Computer Science and Technology, College of Intelligence and Computing, Tianjin University, Tianjin, China; School of Software, Dalian University of Technology, Dalian, China; School of Computer Science, University of Oklahoma, Norman, OK, USA; Department of Electrical and Computer Engineering, University of Florida, Gainesville, FL, USA",IEEE Communications Surveys & Tutorials,"20 Nov 2020","2020","22","4","2462","2488","The Industrial Internet of Things (IIoT) is a crucial research field spawned by the Internet of Things (IoT). IIoT links all types of industrial equipment through the network; establishes data acquisition, exchange, and analysis systems; and optimizes processes and services, so as to reduce cost and enhance productivity. The introduction of edge computing in IIoT can significantly reduce the decision-making latency, save bandwidth resources, and to some extent, protect privacy. This paper outlines the research progress concerning edge computing in IIoT. First, the concepts of IIoT and edge computing are discussed, and subsequently, the research progress of edge computing is discussed and summarized in detail. Next, the future architecture from the perspective of edge computing in IIoT is proposed, and its technical progress in routing, task scheduling, data storage and analytics, security, and standardization is analyzed. Furthermore, we discuss the opportunities and challenges of edge computing in IIoT in terms of 5G-based edge communication, load balancing and data offloading, edge intelligence, as well as data sharing security. Finally, we introduce some typical application scenarios of edge computing in IIoT, such as prognostics and health management (PHM), smart grids, manufacturing coordination, intelligent connected vehicles (ICV), and smart logistics.","1553-877X","","10.1109/COMST.2020.3009103","National Key Research and Development Program of China(grant numbers:2019YFB1703601); National Natural Science Foundation of China(grant numbers:61672131,61971084,61702365); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9139976","Industrial Internet of Things (IIoT);edge computing;reference architecture;advances and challenges;application scenarios","Edge computing;Cloud computing;Internet of Things;Computer architecture;Security;Delays","","481","","148","IEEE","14 Jul 2020","","","IEEE","IEEE Journals"
"Survey on 6G Frontiers: Trends, Applications, Requirements, Technologies and Future Research","C. D. Alwis; A. Kalla; Q. -V. Pham; P. Kumar; K. Dev; W. -J. Hwang; M. Liyanage","Department of Electrical and Electronic Engineering, University of Sri Jayewardenepura, Nugegoda, Sri Lanka; Centre for Wireless Communications, University of Oulu, Oulu, Finland; Korean Southeast Center for the 4th Industrial Revolution Leader Education, Pusan National University, Busan, Republic of Korea; Department of Computer Science, Swansea University, Swansea, U.K.; Nimbus Research Centre, Munster Technological University, Bishopstown, Cork, Ireland; Department of Biomedical Convergence Engineering, Pusan National University, Yangsan, South Korea; Centre for Wireless Communications, University of Oulu, Oulu, Finland",IEEE Open Journal of the Communications Society,"16 Apr 2021","2021","2","","836","886","Emerging applications such as Internet of Everything, Holographic Telepresence, collaborative robots, and space and deep-sea tourism are already highlighting the limitations of existing fifth-generation (5G) mobile networks. These limitations are in terms of data-rate, latency, reliability, availability, processing, connection density and global coverage, spanning over ground, underwater and space. The sixth-generation (6G) of mobile networks are expected to burgeon in the coming decade to address these limitations. The development of 6G vision, applications, technologies and standards has already become a popular research theme in academia and the industry. In this paper, we provide a comprehensive survey of the current developments towards 6G. We highlight the societal and technological trends that initiate the drive towards 6G. Emerging applications to realize the demands raised by 6G driving trends are discussed subsequently. We also elaborate the requirements that are necessary to realize the 6G applications. Then we present the key enabling technologies in detail. We also outline current research projects and activities including standardization efforts towards the development of 6G. Finally, we summarize lessons learned from state-of-the-art research and discuss technical challenges that would shed a new light on future research directions towards 6G.","2644-125X","","10.1109/OJCOMS.2021.3071496","National Research Foundation of Korea (NRF); Korean Government (MSIT)(grant numbers:NRF-2019R1C1C1006143,NRF-2019R1I1A3A01060518); European Union in RESPONSE 5G(grant numbers:789658); Academy of Finland in 6Genesis(grant numbers:318927); Secure Connect Projects; Institute of Information and Communications Technology Planning and Evaluation (IITP); Korea Government (MSIT)(grant numbers:2020-0-01450); Artificial Intelligence Convergence Research Center, Pusan National University; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9397776","Beyond 5G;6G;mobile communication;emerging technologies;survey","6G mobile communication;5G mobile communication;Mobile communication;Internet of Things;Market research;Reliability;Broadband communication","","436","","378","CCBY","7 Apr 2021","","","IEEE","IEEE Journals"
"Smart Cities: A Survey on Data Management, Security, and Enabling Technologies","A. Gharaibeh; M. A. Salahuddin; S. J. Hussini; A. Khreishah; I. Khalil; M. Guizani; A. Al-Fuqaha","German Jordanian University, Amman, Jordan; University of Waterloo, Waterloo, ON, Canada; Western Michigan University, Kalamazoo, MI, USA; New Jersey Institute of Technology, Newark, NJ, USA; Qatar Computing Research Institute, Doha, Qatar; University of Idaho, Moscow, ID, USA; Western Michigan University, Kalamazoo, MI, USA",IEEE Communications Surveys & Tutorials,"20 Nov 2017","2017","19","4","2456","2501","Integrating the various embedded devices and systems in our environment enables an Internet of Things (IoT) for a smart city. The IoT will generate tremendous amount of data that can be leveraged for safety, efficiency, and infotainment applications and services for city residents. The management of this voluminous data through its lifecycle is fundamental to the realization of smart cities. Therefore, in contrast to existing surveys on smart cities we provide a data-centric perspective, describing the fundamental data management techniques employed to ensure consistency, interoperability, granularity, and reusability of the data generated by the underlying IoT for smart cities. Essentially, the data lifecycle in a smart city is dependent on tightly coupled data management with cross-cutting layers of data security and privacy, and supporting infrastructure. Therefore, we further identify techniques employed for data security and privacy, and discuss the networking and computing technologies that enable smart cities. We highlight the achievements in realizing various aspects of smart cities, present the lessons learned, and identify limitations and research challenges.","1553-877X","","10.1109/COMST.2017.2736886","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8003273","Smart cities;Internet of Things (IoT);data management;data security;network functions virtualization (NFV);software-defined networking (SDN);cloud computing","Smart cities;Data security;Data privacy;Tutorials;Internet of Things;Virtualization;Cloud computing;Software defined networking","","425","","423","IEEE","7 Aug 2017","","","IEEE","IEEE Journals"
