"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"X7LGB3SW","conferencePaper","2024","Galantino, Stefano; Pinto, Andrea; Esposito, Flavio; Manzalini, Antonio; Risso, Fulvio","Balancing Energy Efficiency and Infrastructure Knowledge in Cloud-to-Edge Task Distribution Systems","Proceedings of the 1st International Workshop on MetaOS for the Cloud-Edge-IoT Continuum","979-8-4007-0543-4","","10.1145/3642975.3678965","https://doi.org/10.1145/3642975.3678965","In the rapidly evolving landscape of distributed computing, maintaining energy efficiency in edge and data center infrastructures has become critical. While the problem has been faced with centralized approaches assuming knowledge of the available underlying infrastructure resources, this paper introduces a distributed task allocation framework emphasizing energy awareness without requiring infrastructure knowledge. The framework is designed to optimize energy consumption in heterogeneous computing environments, leveraging a distributed consensus algorithm that allows nodes to maximize individual or global goals. Each private custom utility function enables a node to carefully determine whether executing a task is efficient, thus ensuring flexibility in the task allocation process based on local preferences. While showcasing the energy efficiency of our framework, we also illustrate that it is not necessary to disclose the underlying infrastructure resources status, ensuring the preservation of potentially sensitive local resources information. Experimental results demonstrate the framework's ability to achieve optimal power consumption outcomes while maintaining privacy, offering a significant advancement over traditional centralized allocation policies and Kubernetes-like scheduling algorithms.","2024","2025-03-18 09:11:58","2025-03-18 09:11:58","","28–34","","","","","","","MECC '24","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Athens, Greece","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Z8ULRFJJ","conferencePaper","2023","Simões, Bruno; Del Puy Carretero, María; Martinez Santiago, Jorge; Muñoz Segovia, Sebastian; Alcain, Nieves","TwinArk: A Unified Framework for Digital Twins based on Micro-frontends, Micro-Services, and Web 3D","Proceedings of the 28th International ACM Conference on 3D Web Technology","979-8-4007-0324-9","","10.1145/3611314.3615915","https://doi.org/10.1145/3611314.3615915","The introduction of the Digital Twin (DT) has sparked a great deal of interest in the virtual replication of physical assets and processes. However, to fully realize the potential of DT, companies require robust and scalable front-end solutions. This study proposes harnessing micro-frontend technologies to surmount the limitations of monolithic front-end frameworks, thereby crafting effective presentation layers tailored for industrial companies. By decomposing complex and distributed systems into modular web-based DT, the proposed framework enables better scalability, synergy, and efficient application development. It also tackles the intricacies introduced by complex multi-vendor elements within DT and the orchestration of services and virtual environments. Research is focused on developing an architecture that facilitates seamless connectivity between multiple blocks of DT as well as interactivity and immersive experiences. Our study offers insights into our journey of implementing this framework for various industrial use cases, such as training, monitoring, and control, highlighting the benefits, drawbacks, and challenges. Ultimately, this research aims to accelerate the creation of DT, improve maintainability, and increase efficiency and productivity in industrial environments.","2023","2025-03-18 09:11:58","2025-03-18 09:11:58","","","","","","","","","Web3D '23","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: San Sebastian, Spain","","","","digital twins; GUI; Web3D","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"A83JEF59","conferencePaper","2019","Duarte, Lucio Mauro; da Silva Alves, Danilo; Toresan, Bruno Ramos; Maia, Paulo Henrique; Silva, Davi","A Model-based Framework for the Analysis of Software Energy Consumption","Proceedings of the XXXIII Brazilian Symposium on Software Engineering","978-1-4503-7651-8","","10.1145/3350768.3353813","https://doi.org/10.1145/3350768.3353813","Software is present in all types of devices, some of them with restrictions as to the amount of energy they can spend to execute software applications. For this reason, energy costs are becoming an important factor during software development and evolution. However, there is still little support for creating energy-efficient software. In this work, we introduce a possible framework for software energy costs evaluation based on model analysis. We model software as Labelled Transitions Systems (LTS) and annotate these models with energy costs, which can be obtained using existing tools. We can then apply graph-based algorithms to traverse the models to obtain information about energy consumption related to software behaviour, such as its most/least costly execution, the cost of a specific execution, and the average cost of executing the software. No existing tool currently provides all the necessary analyses, even though they are essential for energy-consumption evaluation. We have conducted a small experiment with our framework where we employed jRAPL to measure energy costs. We annotated the models with the collected energy costs using an extended version of the LoTuS tool, where we have also implemented some of the desired analyses. Based on this support and on our initial results, we believe developers could create software more energy-efficient and consider possible trade-offs related to time, space, and energy costs when producing new versions of their systems.","2019","2025-03-18 09:11:58","2025-03-18 09:11:58","","67–72","","","","","","","SBES '19","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Salvador, Brazil","","","","Embedded Software; Energy Consumption Evaluation; Labelled Transition System; Model-based Analysis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WLXXYRHZ","conferencePaper","2019","Lin, Pingrong; Lin, Zheyuan; Shi, Xiaoquan","Research on Optimization of Course Selection System Based on Micro service and Dynamic Resource Extension","Proceedings of the 4th International Conference on Big Data and Computing","978-1-4503-6278-8","","10.1145/3335484.3335546","https://doi.org/10.1145/3335484.3335546","In view of the fact that the course selection system in Colleges and universities has short burst access, large concurrent business and complex business, and combined with the existing course selection system of South China Institute of Software Engineering of Guangzhou University, an optimization scheme based on micro service and dynamic resource extension is constructed. The scheme can solve the problem of low performance of course selection system by building a micro-service architecture, splitting the business services of course selection system, scaling up the cluster of servers, and expanding the resources dynamically. The performance comparison before and after optimization shows that the performance of the course selection system has been greatly improved, and the scheme is feasible and effective.","2019","2025-03-18 09:11:58","2025-03-18 09:11:58","","115–119","","","","","","","ICBDC '19","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Guangzhou, China","","","","micro-service; course selection system; dynamic resource expansion","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MPS3RXZ3","conferencePaper","2022","Tang, Wenda; Ke, Yutao; Fu, Senbo; Jiang, Hongliang; Wu, Junjie; Peng, Qian; Gao, Feng","Demeter: QoS-aware CPU scheduling to reduce power consumption of multiple black-box workloads","Proceedings of the 13th Symposium on Cloud Computing","978-1-4503-9414-7","","10.1145/3542929.3563476","https://doi.org/10.1145/3542929.3563476","Energy consumption in cloud data centers has become an increasingly important contributor to greenhouse gas emissions and operation costs. To reduce energy-related costs and improve environmental sustainability, most modern data centers consolidate Virtual Machine (VM) workloads belonging to different application classes, some being latency-critical (LC) and others being more tolerant to performance changes, known as best-effort (BE). However, in public cloud scenarios, the real classes of applications are often opaque to data center operators. The heterogeneous applications from different cloud tenants are usually consolidated onto the same hosts to improve energy efficiency, but it is not trivial to guarantee decent performance isolation among colocated workloads. We tackle the above challenges by introducing Demeter, a QoS-aware power management controller for heterogeneous black-box workloads in public clouds. Demeter is designed to work without offline profiling or prior knowledge about black-box workloads. Through the correlation analysis between network throughput and CPU resource utilization, Demeter automatically classifies black-box workloads as either LC or BE. By provisioning differentiated CPU management strategies (including dynamic core allocation and frequency scaling) to LC and BE workloads, Demeter achieves considerable power savings together with a minimum impact on the performance of all workloads. We discuss the design and implementation of Demeter in this work, and conduct extensive experimental evaluations to reveal its effectiveness. Our results show that Demeter not only meets the performance demand of all workloads, but also responds quickly to dynamic load changes in our cloud environment. In addition, Demeter saves an average of 10.6% power consumption than state of the art mechanisms.","2022","2025-03-18 09:11:58","2025-03-18 09:11:58","","31–46","","","","","","","SoCC '22","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: San Francisco, California","","","","cloud computing; power management; quality of service; workload characterization","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4F9VQ254","conferencePaper","2021","Valera, Hernan Humberto Alvarez; Dalmau, Marc; Roose, Philippe; Larracoechea, Jorge; Herzog, Christina","An energy saving approach: understanding microservices as multidimensional entities in p2p networks","Proceedings of the 36th Annual ACM Symposium on Applied Computing","978-1-4503-8104-8","","10.1145/3412841.3441888","https://doi.org/10.1145/3412841.3441888","With the use of microservices, many software solutions have been improved in terms of scalability, response efficiency, ease of load balancing among others. However, it is still a challenge to dynamically deploy them according to devices' heterogeneity and energy consumption concerns, while maintaining a defined QoS. Centralized and decentralized approaches that manage microservices deployment have the traditional pros and cons long discussed over time. While the former offer greater control over distributed application components, the latter offers frugal network negotiations, no system-wide crashes, privacy, among others.This work focuses on identifying ""ideal"" host candidates for microservices' execution in a decentralized network, applying run-time scheduling operations (migration or duplication) to reduce energy consumption. To do this, we created a scheduling algorithm using MAAN (a P2P approach) to interpret a decentralized network as a multidimensional resource (capacity-demand) space, which supports range queries in a logarithmic quantity of hops. In this way, a node that runs a set of microservices is able to 1) map them in terms of their execution requirements (i.e. CPU frequency, RAM capacity, Network rate and disk speed) 2) Select an ideal microservice to be moved or duplicated, 3) find ideal node(s) that meet all those requirements in an optimal computational complexity and 4) negotiate the movement or duplication of the selected microservice, by analyzing energy consumption and QoS criteria.","2021","2025-03-18 09:11:58","2025-03-18 09:11:58","","69–78","","","","","","","SAC '21","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Virtual Event, Republic of Korea","","","","cloud computing; microservices; power consumption; energy consumption; distributed algorithms; P2P","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IB6EBCRK","conferencePaper","2024","D'Angelo, Andrea; d'Aloisio, Giordano","Grammar-Based Anomaly Detection of Microservice Systems Execution Traces","Companion of the 15th ACM/SPEC International Conference on Performance Engineering","979-8-4007-0445-1","","10.1145/3629527.3651844","https://doi.org/10.1145/3629527.3651844","Microservice architectures are a widely adopted architectural pattern for large-scale applications. Given the large adoption of these systems, several works have been proposed to detect performance anomalies starting from analysing the execution traces. However, most of the proposed approaches rely on machine learning (ML) algorithms to detect anomalies. While ML methods may be effective in detecting anomalies, the training and deployment of these systems as been shown to be less efficient in terms of time, computational resources, and energy required.In this paper, we propose a novel approach based on Context-free grammar for anomaly detection of microservice systems execution traces. We employ the SAX encoding to transform execution traces into strings. Then, we select strings encoding anomalies, and for each possible anomaly, we build a Context-free grammar using the Sequitur grammar induction algorithm. We test our approach on two real-world datasets and compare it with a Logistic Regression classifier. We show how our approach is more effective in terms of training time of 15 seconds with a minimum loss in effectiveness of 5% compared to the Logistic Regression baseline.","2024","2025-03-18 09:11:58","2025-03-18 09:11:58","","77–81","","","","","","","ICPE '24 Companion","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: London, United Kingdom","","","","anomaly detection; context-free grammar; execution traces; micro service system","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9DBXQBDS","conferencePaper","2023","Attarha, Shadi; Forster, Anna","Empowering IoT Applications with Flexible, Energy-Efficient Remote Management of Low-Power Edge Devices","Proceedings of the 2023 International Conference on Embedded Wireless Systems and Networks","","","","","In the context of the Internet of Things (IoT), reliable and energy-efficient provision of IoT applications has become critical. Equipping IoT systems with tools that enable a flexible, well-performing, and automated way of monitoring and managing IoT edge devices is an essential prerequisite. In current IoT systems, low-power edge appliances have been utilized in a way that can not be controlled and re-configured in a timely manner. Hence, conducting a trade-off solution between manageability, performance and design requirements are demanded. This paper introduces a novel approach for fine-grained monitoring and managing individual micro-services within low-power edge devices, which improves system reliability and energy efficiency. The proposed method enables operational flexibility for IoT edge devices by leveraging a modularization technique. Following a review of existing solutions for remote-managed IoT services, a detailed description of the suggested approach is presented. Also, to explore the essential design principles that must be considered in this approach, the suggested architecture is elaborated in detail. Finally, the advantages of the proposed solution to deal with disruptions are demonstrated in the proof of concept-based experiments.","2023","2025-03-18 09:11:58","2025-03-18 09:11:58","","52–55","","","","","","","EWSN '23","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Rende, Italy","","","","IoT; Energy Efficiency; Low-power; Operational Flexibility; Service Isolation; Service Management","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Y5E2B6P3","conferencePaper","2024","Mehran, Narges; Kimovski, Dragi; Hellwagner, Hermann; Roman, Dumitru; Soylu, Ahmet; Prodan, Radu","Scheduling of Distributed Applications on the Computing Continuum: A Survey","Proceedings of the IEEE/ACM 16th International Conference on Utility and Cloud Computing","979-8-4007-0234-1","","10.1145/3603166.3632540","https://doi.org/10.1145/3603166.3632540","The demand for distributed applications has significantly increased over the past decade, with improvements in machine learning techniques fueling this growth. These applications predominantly utilize Cloud data centers for high-performance computing and Fog and Edge devices for low-latency communication for small-size machine learning model training and inference. The challenge of executing applications with different requirements on heterogeneous devices requires effective methods for solving NP-hard resource allocation and application scheduling problems. The state-of-the-art techniques primarily investigate conflicting objectives, such as the completion time, energy consumption, and economic cost of application execution on the Cloud, Fog, and Edge computing infrastructure. Therefore, in this work, we review these research works considering their objectives, methods, and evaluation tools. Based on the review, we provide a discussion on the scheduling methods in the Computing Continuum.","2024","2025-03-18 09:11:58","2025-03-18 09:11:58","","","","","","","","","UCC '23","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Taormina (Messina), Italy","","","","energy efficiency; cloud; computing continuum; edge; placement; scheduling","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PNFPMGNU","conferencePaper","2024","Vahabi, Shahrokh; Righetti, Francesca; Vallati, Carlo; Tonellotto, Nicola","Energy-Efficient Resource Management for Real-Time Applications in FaaS Edge Computing Platforms","Proceedings of the IEEE/ACM 16th International Conference on Utility and Cloud Computing","979-8-4007-0234-1","","10.1145/3603166.3632240","https://doi.org/10.1145/3603166.3632240","Edge computing and Function-as-a-Service are two emerging paradigms that enable a timed analysis of data directly in the proximity of cyber-physical systems and users. Function-as-a-service platforms deployed at the edge require mechanisms for resource management and allocation to schedule function execution and to scale the available resources in order to ensure the proper quality of service to applications. Large-scale deployments will also require mechanisms to control the energy consumption of the overall system, to ensure long-term sustainability. In this paper, we propose a technique to schedule function invocations on Edge resources by powering down idle edge nodes during period of low demands. In doing so, our technique aims at reducing the overall energy consumption without incurring in service level agreements violations. Experimental evaluations demonstrate that the proposed approach reduces service level agreement violations by at least 78.1% and energy consumption by at least 62.5% on average using synthetic and real-world datasets w.r.t. different baselines.","2024","2025-03-18 09:11:58","2025-03-18 09:11:58","","","","","","","","","UCC '23","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Taormina (Messina), Italy","","","","energy efficiency; resource management; edge computing; function-as-a-service; service level agreement","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
